cement_kg_m3,blast_slag_kg_m3,fly_ash_kg_m3,water_kg_m3,superplasticizer_kg_m3,coarse_agg_kg_m3,fine_agg_kg_m3,age_days,strength_mpa
154.6,0,184.9,166.9,14.98,1034.2,924,14,54.86
530.7,0,19.7,223.3,0.03,1062.5,756.8,3,44.19
487.2,0,145.9,216.7,29.4,1050.5,690.4,28,92.36
405.5,0,0,140.1,15.68,1049.7,831,90,89.09
184.1,147.7,186.9,179,8.54,994.1,726.3,7,54.24
236.3,0,0,142.7,4.42,814.8,976.4,28,45.7
255,0,0,149.8,6.04,826.9,615.7,3,29.32
337.1,0,181.1,207.7,25.33,834.4,692.8,180,80.5
313,0,0,202.8,17.47,951.3,776.3,28,54.28
336.2,0,69.1,234.4,30.44,1131,660,28,62.28
507.6,58.5,47.3,131.6,6.79,1058.9,750.8,7,79.9
242.4,116.4,73.7,217.5,10.13,1076.6,747.3,1,31.92
168.3,0,102.4,224.5,11.91,889.3,881.9,56,31.18
353.3,0,0,158.1,22.85,881.5,760.8,28,72.31
489.8,9.4,0,231,0.71,1079,953.3,28,57.49
345.8,61.3,0,130.8,18.95,1109.2,777.3,28,95
243.3,0,0,196.7,2.81,831.2,862.8,7,25.19
331.7,0,0,187.9,26,1080.8,882.1,14,57.22
203.5,0,153.1,143,15.43,1127.8,699,3,51.46
343.2,0,0,196.3,11.45,868,650.5,3,35.13
390.3,169.1,32.5,190.7,9.9,827.9,911.8,28,80.82
484.5,4.4,0,142.4,2.07,1092.2,962.8,28,93.58
388,192.3,142.3,138.8,27.26,921.1,813.6,180,95
505.1,60.7,51.9,138.8,1.79,850.2,888.2,3,55.41
351.7,0,179.3,229.1,10.58,1035,891.2,1,38.1
152.5,0,79.4,205.1,16.24,902.3,921.2,90,22.98
270.9,0,0,179.6,27.19,1032.3,841.4,56,63.03
234.8,145.6,19.4,235.3,2.3,1016.1,654.3,28,39.96
257.9,31.8,115.3,208.7,0.46,977.3,784.9,28,50.04
477.5,66.5,0,219.9,15.14,850.6,777.3,180,71.21
468.3,62.9,0,139,0.75,1023.3,886,28,86.47
414.9,69.1,0,184.9,11.51,970.6,982.8,56,78.54
509.5,149.5,0,214.5,2.46,1106.7,767.3,56,76.56
315.1,0,0,202.4,14.36,831.7,725.7,90,47.54
390.1,0,60.5,188.4,31.22,873.3,644.3,3,49.24
407.8,0,0,230.1,10.75,807.2,878.5,90,54.27
232,0,0,192.7,4.76,839.9,801.9,28,23.31
436,0,0,186.9,26.3,1124.2,921.8,1,42.21
391.4,159.8,116.3,193.1,13.36,890.4,790,28,89.37
167.7,0,0,146.5,17.86,988,880.2,28,30.88
