borehole_id,site,total_depth_m,n_layers,top3m_avg_density_kg_m3,top3m_avg_vs_m_s,vs30_m_s,nehrp_class,clay_frac,sand_frac,gravel_frac,silt_frac
Bagmati_Bridge_BH1,Bagmati_Bridge,30,19,1625,138.4,148.7,E,0,0.1,0,0.9
Bagmati_Bridge_BH2,Bagmati_Bridge,19.5,9,1550,112.8,142.6,E,0,0,0,1
Bagmati_Bridge_BH3,Bagmati_Bridge,19.5,11,1625,132.7,143,E,0,0.077,0,0.923
Bagmati_Bridge_BH4,Bagmati_Bridge,19.5,11,1625,132.7,136.5,E,0,0.077,0,0.923
Balkhu_BH1,Balkhu,9,4,1625,125.9,120.6,E,0,0.167,0,0.833
Balkhu_BH2,Balkhu,9,6,1625,138.1,120.6,E,0,0.167,0,0.833
Balkhu_BH3,Balkhu,9,4,1550,125.3,120,E,0,0.167,0,0.833
Balkumari_BH1,Balkumari,15,10,1700,188.4,194.8,D,0.7,0.3,0,0
Balkumari_BH2,Balkumari,15,9,1700,181.1,199,D,0.7,0.3,0,0
Bhanimandal_BH1,Bhanimandal,15,9,1625,160.8,133.6,E,0,0.1,0,0.9
Bhanimandal_BH2,Bhanimandal,15,10,1625,156.2,138,E,0,0.1,0,0.9
Bhanimandal_BH3,Bhanimandal,15,9,1625,161.2,139.9,E,0,0.1,0,0.9
Bhanimandal_BH4,Bhanimandal,15,9,1625,148.6,137.6,E,0,0.1,0,0.9
Bhanimandal_BH5,Bhanimandal,15,8,1625,164.7,139.4,E,0,0.1,0,0.9
Chakupat_BH1,Chakupat,19.5,12,1700,185.1,227.3,D,0.923,0.077,0,0
Gurjudhara_BH1,Gurjudhara,15,10,1775,196.9,238.9,D,0.9,0.1,0,0
Gurjudhara_BH2,Gurjudhara,15,10,1775,200.8,227.9,D,0.9,0.1,0,0
Hatiban_BH1,Hatiban,6,4,1775,196.2,153.3,E,0,0.5,0,0.5
Hatiban_BH10,Hatiban,6,3,1625,153.1,135.8,E,0,0.25,0,0.75
Hatiban_BH11,Hatiban,6,4,1775,201,147.7,E,0,0.5,0,0.5
Hatiban_BH12,Hatiban,6,3,1700,176.6,144.5,E,0,0.25,0,0.75
Hatiban_BH13,Hatiban,6,3,1700,180.7,142.5,E,0,0.25,0,0.75
Hatiban_BH14,Hatiban,6,3,1700,180.7,142.5,E,0,0.25,0,0.75
Hatiban_BH15,Hatiban,6,3,1700,180.7,145.3,E,0,0.25,0,0.75
Hatiban_BH16,Hatiban,6,2,1625,152.6,134.4,E,0,0.25,0,0.75
Hatiban_BH17,Hatiban,6,4,1700,176.6,144.5,E,0,0.25,0,0.75
Hatiban_BH18,Hatiban,6,4,1700,172.1,143.5,E,0,0.25,0,0.75
Hatiban_BH19,Hatiban,6,3,1700,174.4,144,E,0,0.25,0,0.75
Hatiban_BH2,Hatiban,6,4,1775,198.1,153.7,E,0,0.5,0,0.5
Hatiban_BH20,Hatiban,6,4,1700,180.6,146.8,E,0,0.25,0,0.75
Hatiban_BH3,Hatiban,6,4,1700,183.1,143.8,E,0,0.25,0,0.75
Hatiban_BH4,Hatiban,6,3,1700,180.7,141.4,E,0,0.25,0,0.75
Hatiban_BH5,Hatiban,6,3,1700,178.7,144.9,E,0,0.25,0,0.75
Hatiban_BH6,Hatiban,6,3,1700,172.1,140.7,E,0,0.25,0,0.75
Hatiban_BH7,Hatiban,6,3,1700,167.5,143.5,E,0,0.25,0,0.75
Hatiban_BH8,Hatiban,6,4,1775,198.1,153.7,E,0,0.5,0,0.5
Hatiban_BH9,Hatiban,6,3,1775,201,152,E,0,0.5,0,0.5
IND_Baba_2008_BH1,IND,35,21,1850,216.1,186,D,0.646,0.34,0,0.014
IND_Baba_2008_BH2,IND,35,29,1625,145.2,173.8,E,0.536,0.2,0,0.264
IND_Baba_2008_BH3,IND,35,28,1700,184.7,172.4,E,0.561,0.193,0,0.246
IND_Baba_2008_BH4,IND,35,26,1700,188.3,182.5,D,0.471,0.307,0,0.221
IND_Baba_2008_BH5,IND,35,16,1625,170.3,183.6,D,0.176,0.153,0,0.671
IND_Bakh_2006_BH1,IND,30,20,1935.9,150.3,156.7,E,1,0,0,0
IND_Bakh_2006_BH2,IND,27,10,1904.1,173.7,163.4,E,0.489,0.444,0,0.067
IND_Bakh_2006_BH3,IND,30.45,21,1793.5,157.6,191.2,D,0.91,0,0,0.09
IND_Bakh_2006_BH4,IND,15,8,1571.2,154.5,186.2,D,0.84,0,0,0.16
IND_Bakh_2006_BH5,IND,15,10,1676.8,208.9,192,D,0.66,0.093,0,0.247
IND_Bakh_2006_BH6,IND,15,10,1614.1,191.2,176.4,E,0.747,0,0,0.253
IND_Bala_2018_BH1,IND,16,9,1967.6,235.3,216.9,D,0.906,0.094,0,0
