thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
1.5,1700,195.16,sand,"1700.0, 64748623.5, 140288684.3, 28.0, 0.1, 101325.0, 0.5, 25.0",,
1.5,1700,181.56,sand,"1700.0, 56038857.1, 121417523.8, 28.0, 0.1, 101325.0, 0.5, 25.0",,
1.5,1700,188.72,sand,"1700.0, 60545905.3, 131182794.8, 28.0, 0.1, 101325.0, 0.5, 25.0",,
1.5,1700,181.56,clay,,,"25885.2, 0.85, 0.18, 0.036, 1.0"
1.5,1850,201.01,clay,,,"40412.5, 0.60, 0.12, 0.024, 1.0"
1.5,1700,195.16,clay,,,"40676.7, 0.85, 0.18, 0.036, 1.0"
1.5,1850,206.4,clay,,,"58373.7, 0.60, 0.12, 0.024, 1.0"
1.5,1850,201.01,clay,,,"67354.2, 0.60, 0.12, 0.024, 1.0"
1.5,1700,195.16,clay,,,"62864.0, 0.85, 0.18, 0.036, 1.0"
1.5,1850,206.4,clay,,,"85315.4, 0.60, 0.12, 0.024, 1.0"
