thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
1.5,1700,181.56,sand,"1700.0, 56038857.1, 121417523.8, 28.0, 0.1, 101325.0, 0.5, 25.0",,
1.5,1700,188.72,clay,,,"11093.6, 0.85, 0.18, 0.036, 1.0"
1.5,1850,216.06,clay,,,"22451.4, 0.60, 0.12, 0.024, 1.0"
1.5,1850,220.45,clay,,,"31432.0, 0.60, 0.12, 0.024, 1.0"
1.5,1850,206.4,clay,,,"40412.5, 0.60, 0.12, 0.024, 1.0"
3.0,1850,211.4,clay,,,"53883.4, 0.60, 0.12, 0.024, 1.0"
1.5,1850,232.24,clay,,,"67354.2, 0.60, 0.12, 0.024, 1.0"
1.5,1850,242.48,clay,,,"76334.8, 0.60, 0.12, 0.024, 1.0"
1.5,1850,251.57,clay,,,"85315.4, 0.60, 0.12, 0.024, 1.0"
1.5,1850,292.3,clay,,,"94295.9, 0.60, 0.12, 0.024, 1.0"
1.5,1850,276.38,clay,,,"103276.5, 0.60, 0.12, 0.024, 1.0"
1.5,1850,288.56,clay,,,"115250.6, 0.60, 0.12, 0.024, 1.0"
