thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
1.5,1700,173.44,sand,"1700.0, 51138437.1, 110799947.1, 28.0, 0.1, 101325.0, 0.5, 25.0",,
1.5,1850,220.45,clay,,,"13470.8, 0.60, 0.12, 0.024, 1.0"
1.5,1850,211.4,clay,,,"22451.4, 0.60, 0.12, 0.024, 1.0"
1.5,1850,224.59,clay,,,"31432.0, 0.60, 0.12, 0.024, 1.0"
1.5,1850,232.24,clay,,,"40412.5, 0.60, 0.12, 0.024, 1.0"
1.5,1850,274.18,clay,,,"49393.1, 0.60, 0.12, 0.024, 1.0"
1.5,1850,274.18,clay,,,"55380.1, 0.60, 0.12, 0.024, 1.0"
1.5,1850,278.52,clay,,,"94295.9, 0.60, 0.12, 0.024, 1.0"
1.5,1850,271.94,clay,,,"103276.5, 0.60, 0.12, 0.024, 1.0"
1.5,1850,284.67,clay,,,"115250.6, 0.60, 0.12, 0.024, 1.0"
