thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
3.3,1850,216.06,sand,"1850.0, 86361558.7, 187116710.4, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1.1,1700,163.99,sand,"1700.0, 45717624.2, 99054852.4, 28.0, 0.1, 101325.0, 0.5, 25.0",,
0.4,1700,163.99,clay,,,"22680.3, 0.85, 0.18, 0.036, 1.0"
1.5,1700,152.57,clay,,,"27364.3, 0.85, 0.18, 0.036, 1.0"
3.0,1550,137.81,clay,,,"30217.0, 1.10, 0.25, 0.050, 1.0"
1.2,1850,257.12,clay,,,"59271.7, 0.60, 0.12, 0.024, 1.0"
0.3,1850,257.12,sand,"1850.0, 122304784.6, 264993700.1, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1.5,1850,242.48,sand,"1850.0, 108773618.2, 235676172.9, 32.0, 0.1, 101325.0, 0.5, 29.0",,
4.5,1850,235.8,sand,"1850.0, 102863034.0, 222869907.0, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1.2,1700,195.16,sand,"1700.0, 64748623.5, 140288684.3, 28.0, 0.1, 101325.0, 0.5, 25.0",,
0.3,1700,195.16,clay,,,"89488.7, 0.85, 0.18, 0.036, 1.0"
1.5,1850,211.4,clay,,,"114053.2, 0.60, 0.12, 0.024, 1.0"
3.0,1850,201.01,clay,,,"127524.0, 0.60, 0.12, 0.024, 1.0"
1.5,1700,163.99,clay,,,"116113.4, 0.85, 0.18, 0.036, 1.0"
1.5,1700,152.57,clay,,,"123509.2, 0.85, 0.18, 0.036, 1.0"
1.5,1700,181.56,clay,,,"130904.9, 0.85, 0.18, 0.036, 1.0"
1.0,1700,163.99,clay,,,"137068.1, 0.85, 0.18, 0.036, 1.0"
2.0,1700,152.57,clay,,,"144463.8, 0.85, 0.18, 0.036, 1.0"
3.0,1700,163.99,clay,,,"156790.1, 0.85, 0.18, 0.036, 1.0"
1.2,1550,123.73,clay,,,"131327.5, 1.10, 0.25, 0.050, 1.0"
0.5,1550,123.73,silt,,"23729125.0, 237291.2, 0.2, 0.2",
