thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
1.0,1793.5,201.01,clay,,,"2794.6, 0.51, 0.12, 0.024, 1.0"
0.32,1793.5,124.0,clay,,,"6483.6, 0.51, 0.25, 0.050, 1.0"
0.68,1793.5,123.73,silt,,"27457344.3, 274573.4, 0.2, 0.2",
0.4,1793.5,124.0,silt,,"27577308.2, 275773.1, 0.2, 0.2",
1.6,1793.5,163.99,clay,,,"17885.7, 0.51, 0.18, 0.036, 1.0"
1.25,1750.0,188.72,clay,,,"24432.4, 0.49, 0.18, 0.036, 1.0"
0.3,1690.0,216.06,clay,,,"26244.4, 0.48, 0.12, 0.024, 1.0"
0.25,1690.0,124.0,clay,,,"27580.9, 0.48, 0.25, 0.050, 1.0"
0.2,1690.0,124.0,silt,,"25985440.0, 259854.4, 0.2, 0.2",
1.0,1690.0,132.87,silt,,"29835998.4, 298360.0, 0.2, 0.2",
0.45,1623.5,144.5,silt,,"33899700.0, 338997.0, 0.2, 0.2",
2.55,1623.5,201.01,clay,,,"38319.1, 0.46, 0.12, 0.024, 1.0"
3.0,1611.8,228.51,clay,,,"49553.7, 0.46, 0.12, 0.024, 1.0"
1.0,1611.8,144.5,clay,,,"58171.7, 0.46, 0.25, 0.050, 1.0"
0.55,1611.8,163.99,clay,,,"61511.2, 0.46, 0.18, 0.036, 1.0"
3.95,1611.8,206.4,clay,,,"71206.5, 0.46, 0.12, 0.024, 1.0"
1.5,1611.8,183.0,clay,,,"82948.5, 0.46, 0.18, 0.036, 1.0"
2.25,1611.8,220.45,clay,,,"91027.9, 0.46, 0.12, 0.024, 1.0"
1.75,1611.8,248.65,clay,,,"99645.9, 0.46, 0.12, 0.024, 1.0"
3.0,1611.8,206.4,clay,,,"109879.8, 0.46, 0.12, 0.024, 1.0"
3.45,1611.8,224.59,clay,,,"123776.4, 0.46, 0.12, 0.024, 1.0"
