thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
1.5,1850,224.59,clay,,,"4490.3, 0.60, 0.12, 0.024, 1.0"
0.5,1850,269.63,clay,,,"10477.3, 0.60, 0.12, 0.024, 1.0"
1.0,1850,269.63,sand,"1850.0, 134495623.3, 291407183.7, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1.5,1850,294.12,sand,"1850.0, 160037162.6, 346747185.7, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1.5,1850,299.37,sand,"1850.0, 165801434.3, 359236440.9, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1.5,1850,228.51,clay,,,"40412.5, 0.60, 0.12, 0.024, 1.0"
1.5,1850,201.01,clay,,,"49393.1, 0.60, 0.12, 0.024, 1.0"
1.5,1850,211.4,clay,,,"58373.7, 0.60, 0.12, 0.024, 1.0"
1.5,1850,232.24,clay,,,"67354.2, 0.60, 0.12, 0.024, 1.0"
1.5,1850,211.4,clay,,,"76334.8, 0.60, 0.12, 0.024, 1.0"
1.5,1850,220.45,clay,,,"85315.4, 0.60, 0.12, 0.024, 1.0"
1.0,1850,224.59,clay,,,"92799.2, 0.60, 0.12, 0.024, 1.0"
