thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
1.5,1850,200.01,silt,,"74007400.2, 740074.0, 0.2, 0.2",
1.35,1550,147.94,sand,"1550.0, 33923677.6, 73501301.4, 28.0, 0.1, 101325.0, 0.5, 25.0",,
0.15,1550,147.94,silt,,"33923677.6, 339236.8, 0.2, 0.2",
1.5,1700,160.3,silt,,"43683353.0, 436833.5, 0.2, 0.2",
1.5,1550,147.94,silt,,"33923677.6, 339236.8, 0.2, 0.2",
1.5,1700,160.3,silt,,"43683353.0, 436833.5, 0.2, 0.2",
1.5,1550,147.94,silt,,"33923677.6, 339236.8, 0.2, 0.2",
1.5,1700,175.72,silt,,"52491781.3, 524917.8, 0.2, 0.2",
1.5,1700,192.62,silt,,"63074189.5, 630741.9, 0.2, 0.2",
3.0,1700,188.7,silt,,"60533073.0, 605330.7, 0.2, 0.2",
1.5,1700,184.58,silt,,"57918619.9, 579186.2, 0.2, 0.2",
1.5,1700,188.7,silt,,"60533073.0, 605330.7, 0.2, 0.2",
1.5,1700,180.27,silt,,"55245363.9, 552453.6, 0.2, 0.2",
1.5,1700,188.7,silt,,"60533073.0, 605330.7, 0.2, 0.2",
1.5,1700,192.62,silt,,"63074189.5, 630741.9, 0.2, 0.2",
1.5,1700,188.7,silt,,"60533073.0, 605330.7, 0.2, 0.2",
1.5,1850,237.92,silt,,"104720963.8, 1047209.6, 0.2, 0.2",
1.5,1850,213.24,silt,,"84121900.6, 841219.0, 0.2, 0.2",
1.5,1850,206.85,silt,,"79155806.6, 791558.1, 0.2, 0.2",
1.95,1850,216.29,silt,,"86545523.6, 865455.2, 0.2, 0.2",
