thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
1.5,1700,173.44,sand,"1700.0, 51138437.1, 110799947.1, 28.0, 0.1, 101325.0, 0.5, 25.0",,
1.5,1700,181.56,sand,"1700.0, 56038857.1, 121417523.8, 28.0, 0.1, 101325.0, 0.5, 25.0",,
1.0,1550,147.94,silt,,"33923677.6, 339236.8, 0.2, 0.2",
2.0,1550,123.73,silt,,"23729125.0, 237291.2, 0.2, 0.2",
1.0,1550,112.87,silt,,"19746437.2, 197464.4, 0.2, 0.2",
2.0,1550,140.83,silt,,"30741287.8, 307412.9, 0.2, 0.2",
1.0,1850,201.01,clay,,,"56876.9, 0.60, 0.12, 0.024, 1.0"
1.5,1700,195.16,clay,,,"53002.9, 0.85, 0.18, 0.036, 1.0"
3.5,1850,201.01,clay,,,"79328.3, 0.60, 0.12, 0.024, 1.0"
2.0,1700,188.72,clay,,,"78888.1, 0.85, 0.18, 0.036, 1.0"
5.5,1850,201.01,clay,,,"118244.1, 0.60, 0.12, 0.024, 1.0"
1.5,1700,195.16,clay,,,"114634.3, 0.85, 0.18, 0.036, 1.0"
2.0,1850,206.4,clay,,,"149676.1, 0.60, 0.12, 0.024, 1.0"
2.0,1850,211.4,clay,,,"161650.2, 0.60, 0.12, 0.024, 1.0"
2.0,1850,211.4,sand,"1850.0, 82676426.0, 179132256.3, 32.0, 0.1, 101325.0, 0.5, 29.0",,
