thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
3.0,1550,112.87,silt,,"19746437.2, 197464.4, 0.2, 0.2",
2.5,1700,188.72,silt,,"60545905.3, 605459.1, 0.2, 0.2",
0.5,1700,188.72,sand,"1700.0, 60545905.3, 131182794.8, 28.0, 0.1, 101325.0, 0.5, 25.0",,
1.0,1700,181.56,sand,"1700.0, 56038857.1, 121417523.8, 28.0, 0.1, 101325.0, 0.5, 25.0",,
2.0,1700,195.16,clay,,,"39444.0, 0.85, 0.18, 0.036, 1.0"
1.0,1850,201.01,clay,,,"56876.9, 0.60, 0.12, 0.024, 1.0"
1.5,1850,206.4,clay,,,"64360.7, 0.60, 0.12, 0.024, 1.0"
3.0,1850,211.4,clay,,,"77831.6, 0.60, 0.12, 0.024, 1.0"
1.5,1850,224.59,clay,,,"91302.4, 0.60, 0.12, 0.024, 1.0"
1.5,1850,220.45,clay,,,"100283.0, 0.60, 0.12, 0.024, 1.0"
2.5,1850,224.59,clay,,,"112257.1, 0.60, 0.12, 0.024, 1.0"
