thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
1.5,1700,173.44,sand,"1700.0, 51138437.1, 110799947.1, 28.0, 0.1, 101325.0, 0.5, 25.0",,
2.5,1700,188.72,sand,"1700.0, 60545905.3, 131182794.8, 28.0, 0.1, 101325.0, 0.5, 25.0",,
0.5,1550,123.73,sand,"1550.0, 23729125.0, 51413104.2, 28.0, 0.1, 101325.0, 0.5, 25.0",,
1.5,1550,123.73,silt,,"23729125.0, 237291.2, 0.2, 0.2",
1.0,1550,112.87,silt,,"19746437.2, 197464.4, 0.2, 0.2",
2.0,1550,140.83,silt,,"30741287.8, 307412.9, 0.2, 0.2",
1.0,1700,160.3,silt,,"43683353.0, 436833.5, 0.2, 0.2",
1.5,1700,165.78,silt,,"46721114.3, 467211.1, 0.2, 0.2",
8.0,1700,170.9,silt,,"49651577.0, 496515.8, 0.2, 0.2",
2.5,1700,175.72,silt,,"52491781.3, 524917.8, 0.2, 0.2",
4.0,1700,170.9,silt,,"49651577.0, 496515.8, 0.2, 0.2",
2.0,1700,160.3,silt,,"43683353.0, 436833.5, 0.2, 0.2",
2.0,1700,170.9,silt,,"49651577.0, 496515.8, 0.2, 0.2",
