thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
1.5,1700,152.57,sand,"1700.0, 39571928.3, 85739178.0, 28.0, 0.1, 101325.0, 0.5, 25.0",,
1.75,1850,245.62,clay,,,"14219.2, 0.60, 0.12, 0.024, 1.0"
0.23,1850,206.4,silt,,"78811776.0, 788117.8, 0.2, 0.2",
1.02,1850,206.4,sand,"1850.0, 78811776.0, 170758848.0, 32.0, 0.1, 101325.0, 0.5, 29.0",,
0.3,1850,262.34,clay,,,"27839.7, 0.60, 0.12, 0.024, 1.0"
1.2,1850,262.34,sand,"1850.0, 127321209.9, 275862621.4, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1.5,1700,152.57,sand,"1700.0, 39571928.3, 85739178.0, 28.0, 0.1, 101325.0, 0.5, 25.0",,
1.5,1850,242.48,clay,,,"49393.1, 0.60, 0.12, 0.024, 1.0"
0.3,1850,224.59,clay,,,"54781.4, 0.60, 0.12, 0.024, 1.0"
0.7,1850,224.59,sand,"1850.0, 93315236.0, 202183011.3, 32.0, 0.1, 101325.0, 0.5, 29.0",,
