thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
0.2,1935.3,152.0,sand,"1935.3, 44713035.3, 96878243.1, 28.0, 0.1, 101325.0, 0.5, 25.0",,
0.8,1935.3,160.3,silt,,"49729491.8, 497294.9, 0.2, 0.2",
0.9,1935.3,152.0,sand,"1935.3, 44713035.3, 96878243.1, 32.0, 0.1, 101325.0, 0.5, 29.0",,
0.1,1935.3,219.25,silt,,"93030676.8, 930306.8, 0.2, 0.2",
0.5,1935.3,152.0,silt,,"44713035.3, 447130.4, 0.2, 0.2",
0.5,1935.3,264.84,sand,"1935.3, 135741966.0, 294107593.0, 32.0, 0.1, 101325.0, 0.5, 29.0",,
0.5,1876.5,152.0,sand,"1876.5, 43353976.5, 93933615.7, 32.0, 0.1, 101325.0, 0.5, 29.0",,
0.5,1876.5,206.4,clay,,,"23150.6, 0.53, 0.12, 0.024, 1.0"
0.5,1876.5,152.0,silt,,"43353976.5, 433539.8, 0.2, 0.2",
0.5,1876.5,220.45,clay,,,"29324.1, 0.53, 0.12, 0.024, 1.0"
0.5,1929.4,152.0,clay,,,"34368.5, 0.54, 0.18, 0.036, 1.0"
1.0,1929.4,152.0,sand,"1929.4, 44577129.4, 96583780.4, 40.0, 0.1, 101325.0, 0.5, 37.0",,
0.5,1929.4,348.93,sand,"1929.4, 234910020.7, 508971711.6, 40.0, 0.1, 101325.0, 0.5, 37.0",,
0.5,1976.5,270.0,sand,"1976.5, 144084705.9, 312183529.4, 36.0, 0.1, 101325.0, 0.5, 33.0",,
0.5,1976.5,302.73,sand,"1976.5, 181134542.2, 392458174.8, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1.5,1988.2,295.9,sand,"1988.2, 174083539.9, 377181003.1, 36.0, 0.1, 101325.0, 0.5, 33.0",,
0.5,1970.6,292.3,sand,"1970.6, 168365659.7, 364792262.7, 36.0, 0.1, 101325.0, 0.5, 33.0",,
0.5,1935.3,270.0,sand,"1935.3, 141082941.2, 305679705.9, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1.5,1935.3,284.67,sand,"1935.3, 156830446.6, 339799301.0, 36.0, 0.1, 101325.0, 0.5, 33.0",,
2.0,1935.3,251.57,sand,"1935.3, 122479858.5, 265373026.8, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1.0,1935.3,270.0,sand,"1935.3, 141082941.2, 305679705.9, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1.0,1935.3,288.56,sand,"1935.3, 161145890.7, 349149429.8, 36.0, 0.1, 101325.0, 0.5, 33.0",,
2.0,1935.3,297.65,sand,"1935.3, 171458393.5, 371493186.0, 36.0, 0.1, 101325.0, 0.5, 33.0",,
3.0,1905.9,270.0,sand,"1905.9, 138938823.5, 301034117.6, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1.0,1964.7,270.0,clay,,,"146092.1, 0.55, 0.12, 0.024, 1.0"
1.0,1964.7,311.0,clay,,,"152887.1, 0.55, 0.12, 0.024, 1.0"
9.0,1964.7,311.0,sand,"1964.7, 190028317.6, 411728021.6, 36.0, 0.1, 101325.0, 0.5, 33.0",,
