thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
1.5,1550,147.94,silt,,"33923677.6, 339236.8, 0.2, 0.2",
1.5,1700,170.9,silt,,"49651577.0, 496515.8, 0.2, 0.2",
1.5,1700,188.72,sand,"1700.0, 60545905.3, 131182794.8, 28.0, 0.1, 101325.0, 0.5, 25.0",,
3.0,1550,147.94,silt,,"33923677.6, 339236.8, 0.2, 0.2",
1.5,1700,165.78,silt,,"46721114.3, 467211.1, 0.2, 0.2",
0.55,1850,282.66,silt,,"147808849.9, 1478088.5, 0.2, 0.2",
0.95,1850,282.66,sand,"1850.0, 147808849.9, 320252508.0, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1.5,1850,262.34,sand,"1850.0, 127321209.9, 275862621.4, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1.5,1850,286.63,sand,"1850.0, 151990000.3, 329311667.2, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1.95,1850,292.3,sand,"1850.0, 158062686.5, 342469154.1, 36.0, 0.1, 101325.0, 0.5, 33.0",,
