thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
1.83,1850,206.4,sand,"1850.0, 78811776.0, 170758848.0, 32.0, 0.1, 101325.0, 0.5, 29.0",,
0.3,1700,160.3,sand,"1700.0, 43683353.0, 94647264.8, 28.0, 0.1, 101325.0, 0.5, 25.0",,
1.22,1700,160.3,silt,,"43683353.0, 436833.5, 0.2, 0.2",
1.52,1700,170.9,silt,,"49651577.0, 496515.8, 0.2, 0.2",
3.05,1700,165.78,silt,,"46721114.3, 467211.1, 0.2, 0.2",
1.22,1700,160.3,silt,,"43683353.0, 436833.5, 0.2, 0.2",
1.22,1850,211.4,silt,,"82676426.0, 826764.3, 0.2, 0.2",
0.61,1850,211.4,sand,"1850.0, 82676426.0, 179132256.3, 32.0, 0.1, 101325.0, 0.5, 29.0",,
0.61,1700,175.72,sand,"1700.0, 52491781.3, 113732192.8, 32.0, 0.1, 101325.0, 0.5, 29.0",,
0.91,1700,175.72,silt,,"52491781.3, 524917.8, 0.2, 0.2",
0.15,1850,248.65,silt,,"114379621.6, 1143796.2, 0.2, 0.2",
1.37,1850,248.65,sand,"1850.0, 114379621.6, 247822513.5, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1.52,1850,242.48,sand,"1850.0, 108773618.2, 235676172.9, 32.0, 0.1, 101325.0, 0.5, 29.0",,
3.05,1850,251.57,sand,"1850.0, 117081810.1, 253677255.1, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1.68,1850,259.77,sand,"1850.0, 124838837.9, 270484148.7, 32.0, 0.1, 101325.0, 0.5, 29.0",,
