thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
1.5,1850,242.48,sand,"1850.0, 108773618.2, 235676172.9, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1.25,1700,188.72,sand,"1700.0, 60545905.3, 131182794.8, 28.0, 0.1, 101325.0, 0.5, 25.0",,
1.75,1700,154.38,silt,,"40516413.5, 405164.1, 0.2, 0.2",
1.5,1700,170.9,silt,,"49651577.0, 496515.8, 0.2, 0.2",
1.5,1700,180.27,silt,,"55245363.9, 552453.6, 0.2, 0.2",
1.5,1700,154.38,silt,,"40516413.5, 405164.1, 0.2, 0.2",
1.5,1550,147.94,silt,,"33923677.6, 339236.8, 0.2, 0.2",
1.5,1700,160.3,silt,,"43683353.0, 436833.5, 0.2, 0.2",
1.5,1700,170.9,silt,,"49651577.0, 496515.8, 0.2, 0.2",
1.5,1700,165.78,silt,,"46721114.3, 467211.1, 0.2, 0.2",
