thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
1.0,1550,140.83,silt,,"30741287.8, 307412.9, 0.2, 0.2",
0.5,1550,140.83,clay,,,"4842.5, 1.10, 0.25, 0.050, 1.0"
1.5,1550,147.94,clay,,,"8716.4, 1.10, 0.25, 0.050, 1.0"
1.5,1700,196.39,clay,,,"18489.4, 0.85, 0.18, 0.036, 1.0"
1.1,1850,251.57,clay,,,"30234.6, 0.60, 0.12, 0.024, 1.0"
1.9,1850,251.57,silt,,"117081810.1, 1170818.1, 0.2, 0.2",
1.5,1850,280.61,silt,,"145672648.4, 1456726.5, 0.2, 0.2",
1.0,1850,262.34,clay,,,"56876.9, 0.60, 0.12, 0.024, 1.0"
0.5,1850,262.34,silt,,"127321209.9, 1273212.1, 0.2, 0.2",
1.5,1850,278.52,silt,,"143510772.2, 1435107.7, 0.2, 0.2",
1.5,1850,251.57,silt,,"117081810.1, 1170818.1, 0.2, 0.2",
1.5,1850,280.61,silt,,"145672648.4, 1456726.5, 0.2, 0.2",
1.5,1850,271.94,silt,,"136810022.7, 1368100.2, 0.2, 0.2",
3.5,1850,264.84,silt,,"129759417.4, 1297594.2, 0.2, 0.2",
