thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
0.2,1996.5,216.06,silt,,"93199087.5, 931990.9, 0.2, 0.2",
1.3,1996.5,216.06,sand,"1996.5, 93199087.5, 201931356.2, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1.5,1996.5,224.59,sand,"1996.5, 100703310.3, 218190505.7, 32.0, 0.1, 101325.0, 0.5, 29.0",,
0.55,1996.5,248.65,sand,"1996.5, 123435432.7, 267443437.5, 32.0, 0.1, 101325.0, 0.5, 29.0",,
0.55,1996.5,248.65,silt,,"123435432.7, 1234354.3, 0.2, 0.2",
0.4,1969.4,248.65,sand,"1969.4, 121762471.6, 263818688.5, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1.05,1969.4,216.29,sand,"1969.4, 92131768.8, 199618832.5, 32.0, 0.1, 101325.0, 0.5, 29.0",,
0.45,1969.4,216.29,silt,,"92131768.8, 921317.7, 0.2, 0.2",
1.5,1969.4,274.18,sand,"1969.4, 148049884.2, 320774749.2, 36.0, 0.1, 101325.0, 0.5, 33.0",,
0.75,1969.4,262.34,sand,"1969.4, 135539399.2, 293668698.4, 32.0, 0.1, 101325.0, 0.5, 29.0",,
0.25,1969.4,262.34,silt,,"135539399.2, 1355394.0, 0.2, 0.2",
0.5,1969.4,262.34,sand,"1969.4, 135539399.2, 293668698.4, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1.5,1969.4,282.66,sand,"1969.4, 157349452.9, 340923814.6, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1.5,1969.4,280.61,sand,"1969.4, 155075366.2, 335996626.8, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1.5,1969.4,267.27,sand,"1969.4, 140681488.7, 304809892.1, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1.5,1969.4,280.61,sand,"1969.4, 155075366.2, 335996626.8, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1.5,1969.4,282.66,sand,"1969.4, 157349452.9, 340923814.6, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1.5,1969.4,280.61,sand,"1969.4, 155075366.2, 335996626.8, 36.0, 0.1, 101325.0, 0.5, 33.0",,
2.0,1969.4,284.67,sand,"1969.4, 159595238.7, 345789683.9, 36.0, 0.1, 101325.0, 0.5, 33.0",,
