thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
1.5,1850,220.45,sand,"1850.0, 89906674.6, 194797795.0, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1.5,1850,280.61,sand,"1850.0, 145672648.4, 315624071.5, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1.5,1850,239.21,sand,"1850.0, 105859634.6, 229362541.6, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1.5,1850,228.51,sand,"1850.0, 96601117.2, 209302420.6, 32.0, 0.1, 101325.0, 0.5, 29.0",,
0.5,1850,264.84,silt,,"129759417.4, 1297594.2, 0.2, 0.2",
1.0,1850,264.84,sand,"1850.0, 129759417.4, 281145404.3, 32.0, 0.1, 101325.0, 0.5, 29.0",,
0.5,1700,188.7,sand,"1700.0, 60533073.0, 131154991.5, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1.0,1700,188.7,silt,,"60533073.0, 605330.7, 0.2, 0.2",
0.3,1850,290.45,silt,,"156068224.6, 1560682.2, 0.2, 0.2",
1.2,1850,290.45,sand,"1850.0, 156068224.6, 338147820.0, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1.5,1850,282.66,sand,"1850.0, 147808849.9, 320252508.0, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1.5,1850,280.61,sand,"1850.0, 145672648.4, 315624071.5, 36.0, 0.1, 101325.0, 0.5, 33.0",,
11.5,1850,271.94,sand,"1850.0, 136810022.7, 296421715.8, 36.0, 0.1, 101325.0, 0.5, 33.0",,
