thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
0.5,1700,160.3,sand,"1700.0, 43683353.0, 94647264.8, 28.0, 0.1, 101325.0, 0.5, 25.0",,
1.0,1700,160.3,silt,,"43683353.0, 436833.5, 0.2, 0.2",
1.5,1550,132.87,silt,,"27364377.2, 273643.8, 0.2, 0.2",
1.5,1550,123.73,silt,,"23729125.0, 237291.2, 0.2, 0.2",
1.0,1850,206.4,silt,,"78811776.0, 788117.8, 0.2, 0.2",
0.5,1850,206.4,sand,"1850.0, 78811776.0, 170758848.0, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1.45,1700,165.78,sand,"1700.0, 46721114.3, 101229080.9, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1.55,1700,165.78,silt,,"46721114.3, 467211.1, 0.2, 0.2",
4.5,1700,160.3,silt,,"43683353.0, 436833.5, 0.2, 0.2",
1.5,1700,180.27,silt,,"55245363.9, 552453.6, 0.2, 0.2",
