thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
1.5,1700,195.16,silt,,"64748623.5, 647486.2, 0.2, 0.2",
1.5,1850,211.4,silt,,"82676426.0, 826764.3, 0.2, 0.2",
2.5,1700,170.9,silt,,"49651577.0, 496515.8, 0.2, 0.2",
0.5,1700,170.9,clay,,,"28350.4, 0.85, 0.18, 0.036, 1.0"
1.5,1700,175.72,clay,,,"33280.9, 0.85, 0.18, 0.036, 1.0"
1.5,1700,170.9,clay,,,"40676.7, 0.85, 0.18, 0.036, 1.0"
3.0,1700,165.78,clay,,,"51770.3, 0.85, 0.18, 0.036, 1.0"
1.5,1850,203.49,clay,,,"76334.8, 0.60, 0.12, 0.024, 1.0"
1.5,1850,206.85,clay,,,"85315.4, 0.60, 0.12, 0.024, 1.0"
1.5,1700,196.39,clay,,,"77655.5, 0.85, 0.18, 0.036, 1.0"
1.5,1850,206.85,clay,,,"103276.5, 0.60, 0.12, 0.024, 1.0"
2.0,1700,188.7,clay,,,"93679.6, 0.85, 0.18, 0.036, 1.0"
