thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
1.5,1700,195.16,sand,"1700.0, 64748623.5, 140288684.3, 28.0, 0.1, 101325.0, 0.5, 25.0",,
4.5,1700,173.44,sand,"1700.0, 51138437.1, 110799947.1, 28.0, 0.1, 101325.0, 0.5, 25.0",,
0.5,1700,165.78,sand,"1700.0, 46721114.3, 101229080.9, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1.0,1700,165.78,silt,,"46721114.3, 467211.1, 0.2, 0.2",
1.5,1700,180.27,silt,,"55245363.9, 552453.6, 0.2, 0.2",
1.5,1700,175.72,silt,,"52491781.3, 524917.8, 0.2, 0.2",
1.5,1700,192.62,silt,,"63074189.5, 630741.9, 0.2, 0.2",
1.5,1700,184.58,silt,,"57918619.9, 579186.2, 0.2, 0.2",
1.5,1700,188.7,silt,,"60533073.0, 605330.7, 0.2, 0.2",
1.5,1700,180.27,silt,,"55245363.9, 552453.6, 0.2, 0.2",
1.5,1700,196.39,silt,,"65567354.6, 655673.5, 0.2, 0.2",
2.0,1850,200.01,silt,,"74007400.2, 740074.0, 0.2, 0.2",
