thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
0.5,1550,140.83,sand,"1550.0, 30741287.8, 66606123.6, 28.0, 0.1, 101325.0, 0.5, 25.0",,
1.0,1550,140.83,silt,,"30741287.8, 307412.9, 0.2, 0.2",
3.0,1550,132.87,silt,,"27364377.2, 273643.8, 0.2, 0.2",
1.5,1550,123.73,silt,,"23729125.0, 237291.2, 0.2, 0.2",
1.5,1550,132.87,silt,,"27364377.2, 273643.8, 0.2, 0.2",
1.5,1700,165.78,silt,,"46721114.3, 467211.1, 0.2, 0.2",
1.5,1700,170.9,silt,,"49651577.0, 496515.8, 0.2, 0.2",
1.5,1700,175.72,silt,,"52491781.3, 524917.8, 0.2, 0.2",
1.5,1700,165.78,silt,,"46721114.3, 467211.1, 0.2, 0.2",
2.5,1700,180.27,silt,,"55245363.9, 552453.6, 0.2, 0.2",
