thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
1.5,1700,192.62,silt,,"63074189.5, 630741.9, 0.2, 0.2",
0.3,1700,163.99,silt,,"45717624.2, 457176.2, 0.2, 0.2",
1.2,1700,163.99,sand,"1700.0, 45717624.2, 99054852.4, 28.0, 0.1, 101325.0, 0.5, 25.0",,
1.5,1850,292.3,sand,"1850.0, 158062686.5, 342469154.1, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1.5,1850,224.59,sand,"1850.0, 93315236.0, 202183011.3, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1.5,1850,274.18,sand,"1850.0, 139073143.9, 301325145.2, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1.5,1850,297.65,sand,"1850.0, 163901716.6, 355120386.0, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1.5,1850,232.24,sand,"1850.0, 99780522.6, 216191132.2, 32.0, 0.1, 101325.0, 0.5, 29.0",,
0.1,1850,284.67,sand,"1850.0, 149918466.5, 324823344.0, 36.0, 0.1, 101325.0, 0.5, 33.0",,
0.4,1850,284.67,silt,,"149918466.5, 1499184.7, 0.2, 0.2",
1.0,1850,284.67,sand,"1850.0, 149918466.5, 324823344.0, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1.5,1850,278.52,sand,"1850.0, 143510772.2, 310940006.5, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1.5,1850,239.21,sand,"1850.0, 105859634.6, 229362541.6, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1.5,1850,271.94,sand,"1850.0, 136810022.7, 296421715.8, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1.5,1850,280.61,sand,"1850.0, 145672648.4, 315624071.5, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1.5,1850,274.18,sand,"1850.0, 139073143.9, 301325145.2, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1.5,1850,284.67,sand,"1850.0, 149918466.5, 324823344.0, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1.5,1850,290.45,sand,"1850.0, 156068224.6, 338147820.0, 36.0, 0.1, 101325.0, 0.5, 33.0",,
2.5,1850,274.18,sand,"1850.0, 139073143.9, 301325145.2, 36.0, 0.1, 101325.0, 0.5, 33.0",,
