thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
1.0,1700,160.3,silt,,"43683353.0, 436833.5, 0.2, 0.2",
1.0,1700,165.78,silt,,"46721114.3, 467211.1, 0.2, 0.2",
0.5,1850,216.06,sand,"1850.0, 86361558.7, 187116710.4, 32.0, 0.1, 101325.0, 0.5, 29.0",,
0.5,1850,220.45,sand,"1850.0, 89906674.6, 194797795.0, 32.0, 0.1, 101325.0, 0.5, 29.0",,
0.5,1850,245.62,sand,"1850.0, 111608991.1, 241819480.8, 32.0, 0.1, 101325.0, 0.5, 29.0",,
0.5,1850,251.57,sand,"1850.0, 117081810.1, 253677255.1, 32.0, 0.1, 101325.0, 0.5, 29.0",,
0.5,1850,232.24,sand,"1850.0, 99780522.6, 216191132.2, 32.0, 0.1, 101325.0, 0.5, 29.0",,
0.5,1850,239.21,sand,"1850.0, 105859634.6, 229362541.6, 32.0, 0.1, 101325.0, 0.5, 29.0",,
0.5,1850,220.45,sand,"1850.0, 89906674.6, 194797795.0, 32.0, 0.1, 101325.0, 0.5, 29.0",,
0.5,1700,173.44,sand,"1700.0, 51138437.1, 110799947.1, 28.0, 0.1, 101325.0, 0.5, 25.0",,
0.32,1700,175.72,sand,"1700.0, 52491781.3, 113732192.8, 32.0, 0.1, 101325.0, 0.5, 29.0",,
0.18,1700,175.72,silt,,"52491781.3, 524917.8, 0.2, 0.2",
0.5,1700,188.7,silt,,"60533073.0, 605330.7, 0.2, 0.2",
0.5,1700,170.9,silt,,"49651577.0, 496515.8, 0.2, 0.2",
0.25,1850,206.4,silt,,"78811776.0, 788117.8, 0.2, 0.2",
0.25,1850,206.4,sand,"1850.0, 78811776.0, 170758848.0, 32.0, 0.1, 101325.0, 0.5, 29.0",,
0.5,1700,181.56,sand,"1700.0, 56038857.1, 121417523.8, 28.0, 0.1, 101325.0, 0.5, 25.0",,
0.5,1700,165.78,silt,,"46721114.3, 467211.1, 0.2, 0.2",
0.5,1550,112.87,silt,,"19746437.2, 197464.4, 0.2, 0.2",
0.5,1550,140.83,silt,,"30741287.8, 307412.9, 0.2, 0.2",
0.5,1550,132.87,silt,,"27364377.2, 273643.8, 0.2, 0.2",
0.5,1550,140.83,silt,,"30741287.8, 307412.9, 0.2, 0.2",
0.5,1850,232.91,silt,,"100357076.0, 1003570.8, 0.2, 0.2",
0.5,1850,216.29,silt,,"86545523.6, 865455.2, 0.2, 0.2",
0.5,1700,154.38,silt,,"40516413.5, 405164.1, 0.2, 0.2",
0.5,1700,160.3,silt,,"43683353.0, 436833.5, 0.2, 0.2",
0.5,1700,175.72,silt,,"52491781.3, 524917.8, 0.2, 0.2",
0.43,1700,196.39,silt,,"65567354.6, 655673.5, 0.2, 0.2",
0.57,1850,235.8,sand,"1850.0, 102863034.0, 222869907.0, 32.0, 0.1, 101325.0, 0.5, 29.0",,
0.77,1850,200.01,silt,,"74007400.2, 740074.0, 0.2, 0.2",
0.23,1850,200.01,silt,,"74007400.2, 740074.0, 0.2, 0.2",
