thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
3.0,1850,230.4,sand,"1850.0, 98205696.0, 212779008.0, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1.5,1850,224.59,sand,"1850.0, 93315236.0, 202183011.3, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1.5,1850,206.4,sand,"1850.0, 78811776.0, 170758848.0, 32.0, 0.1, 101325.0, 0.5, 29.0",,
0.1,1550,132.87,sand,"1550.0, 27364377.2, 59289483.9, 28.0, 0.1, 101325.0, 0.5, 25.0",,
1.4,1550,132.87,silt,,"27364377.2, 273643.8, 0.2, 0.2",
1.5,1700,180.27,silt,,"55245363.9, 552453.6, 0.2, 0.2",
1.5,1700,175.72,silt,,"52491781.3, 524917.8, 0.2, 0.2",
1.5,1700,180.27,silt,,"55245363.9, 552453.6, 0.2, 0.2",
3.0,1700,188.7,silt,,"60533073.0, 605330.7, 0.2, 0.2",
1.5,1700,194.53,silt,,"64331265.5, 643312.7, 0.2, 0.2",
1.5,1700,196.39,silt,,"65567354.6, 655673.5, 0.2, 0.2",
1.5,1850,200.01,silt,,"74007400.2, 740074.0, 0.2, 0.2",
1.5,1700,192.62,silt,,"63074189.5, 630741.9, 0.2, 0.2",
1.5,1850,203.49,silt,,"76605133.2, 766051.3, 0.2, 0.2",
1.5,1850,210.1,silt,,"81662718.5, 816627.2, 0.2, 0.2",
1.5,1850,206.85,silt,,"79155806.6, 791558.1, 0.2, 0.2",
1.5,1850,200.01,silt,,"74007400.2, 740074.0, 0.2, 0.2",
1.5,1850,201.76,silt,,"75308130.6, 753081.3, 0.2, 0.2",
3.0,1850,203.49,silt,,"76605133.2, 766051.3, 0.2, 0.2",
1.5,1850,201.76,silt,,"75308130.6, 753081.3, 0.2, 0.2",
2.0,1850,205.18,silt,,"77882839.9, 778828.4, 0.2, 0.2",
