thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
0.5,1700,165.78,sand,"1700.0, 46721114.3, 101229080.9, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1.0,1700,165.78,silt,,"46721114.3, 467211.1, 0.2, 0.2",
1.25,1850,206.4,silt,,"78811776.0, 788117.8, 0.2, 0.2",
0.25,1850,206.4,sand,"1850.0, 78811776.0, 170758848.0, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1.5,1550,140.83,silt,,"30741287.8, 307412.9, 0.2, 0.2",
1.5,1850,264.12,silt,,"129054842.6, 1290548.4, 0.2, 0.2",
1.5,2000,304.37,sand,"2000.0, 185282193.8, 401444753.2, 36.0, 0.1, 101325.0, 0.5, 33.0",,
3.0,1850,295.9,sand,"1850.0, 161980098.5, 350956880.1, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1.5,1850,282.66,sand,"1850.0, 147808849.9, 320252508.0, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1.5,1850,295.9,sand,"1850.0, 161980098.5, 350956880.1, 36.0, 0.1, 101325.0, 0.5, 33.0",,
6.0,1850,297.65,sand,"1850.0, 163901716.6, 355120386.0, 36.0, 0.1, 101325.0, 0.5, 33.0",,
