thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
1.5,1850,259.77,sand,"1850.0, 124838837.9, 270484148.7, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1.5,1700,163.99,sand,"1700.0, 45717624.2, 99054852.4, 28.0, 0.1, 101325.0, 0.5, 25.0",,
0.3,1700,165.78,sand,"1700.0, 46721114.3, 101229080.9, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1.25,1700,165.78,silt,,"46721114.3, 467211.1, 0.2, 0.2",
0.95,1850,224.92,sand,"1850.0, 93589661.8, 202777600.7, 32.0, 0.1, 101325.0, 0.5, 29.0",,
0.5,1850,224.92,silt,,"93589661.8, 935896.6, 0.2, 0.2",
0.5,1700,181.56,silt,,"56038857.1, 560388.6, 0.2, 0.2",
1.0,1700,181.56,sand,"1700.0, 56038857.1, 121417523.8, 28.0, 0.1, 101325.0, 0.5, 25.0",,
1.5,1850,286.63,sand,"1850.0, 151990000.3, 329311667.2, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1.5,1850,276.38,sand,"1850.0, 141313923.1, 306180166.8, 36.0, 0.1, 101325.0, 0.5, 33.0",,
0.3,1850,224.92,sand,"1850.0, 93589661.8, 202777600.7, 32.0, 0.1, 101325.0, 0.5, 29.0",,
0.6,1850,224.92,silt,,"93589661.8, 935896.6, 0.2, 0.2",
0.1,1850,224.92,sand,"1850.0, 93589661.8, 202777600.7, 32.0, 0.1, 101325.0, 0.5, 29.0",,
0.5,1850,224.92,silt,,"93589661.8, 935896.6, 0.2, 0.2",
0.3,1850,280.61,silt,,"145672648.4, 1456726.5, 0.2, 0.2",
1.2,1850,280.61,sand,"1850.0, 145672648.4, 315624071.5, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1.5,1850,274.18,sand,"1850.0, 139073143.9, 301325145.2, 36.0, 0.1, 101325.0, 0.5, 33.0",,
4.5,1850,271.94,sand,"1850.0, 136810022.7, 296421715.8, 36.0, 0.1, 101325.0, 0.5, 33.0",,
3.0,1850,269.63,sand,"1850.0, 134495623.3, 291407183.7, 32.0, 0.1, 101325.0, 0.5, 29.0",,
2.5,1850,271.94,sand,"1850.0, 136810022.7, 296421715.8, 36.0, 0.1, 101325.0, 0.5, 33.0",,
