thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
1.55,1700,170.9,silt,,"49651577.0, 496515.8, 0.2, 0.2",
0.4,1550,140.83,sand,"1550.0, 30741287.8, 66606123.6, 28.0, 0.1, 101325.0, 0.5, 25.0",,
1.05,1550,140.83,silt,,"30741287.8, 307412.9, 0.2, 0.2",
0.4,1850,220.45,silt,,"89906674.6, 899066.7, 0.2, 0.2",
1.1,1850,220.45,sand,"1850.0, 89906674.6, 194797795.0, 32.0, 0.1, 101325.0, 0.5, 29.0",,
0.5,1850,262.14,sand,"1850.0, 127127152.3, 275442163.2, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1.0,1850,262.14,silt,,"127127152.3, 1271271.5, 0.2, 0.2",
1.5,1850,278.52,sand,"1850.0, 143510772.2, 310940006.5, 36.0, 0.1, 101325.0, 0.5, 33.0",,
3.0,1850,269.63,sand,"1850.0, 134495623.3, 291407183.7, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1.5,1850,276.38,sand,"1850.0, 141313923.1, 306180166.8, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1.5,1850,274.18,sand,"1850.0, 139073143.9, 301325145.2, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1.5,1850,280.61,sand,"1850.0, 145672648.4, 315624071.5, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1.5,1850,274.18,sand,"1850.0, 139073143.9, 301325145.2, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1.5,1850,276.38,sand,"1850.0, 141313923.1, 306180166.8, 36.0, 0.1, 101325.0, 0.5, 33.0",,
2.0,1850,278.52,sand,"1850.0, 143510772.2, 310940006.5, 36.0, 0.1, 101325.0, 0.5, 33.0",,
