thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
1.0,1850,224.59,silt,,"93315236.0, 933152.4, 0.2, 0.2",
0.5,1850,224.59,sand,"1850.0, 93315236.0, 202183011.3, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1.5,1700,152.57,sand,"1700.0, 39571928.3, 85739178.0, 28.0, 0.1, 101325.0, 0.5, 25.0",,
4.5,1700,163.99,clay,,,"25885.2, 0.85, 0.18, 0.036, 1.0"
1.5,1700,181.56,clay,,,"40676.7, 0.85, 0.18, 0.036, 1.0"
1.5,1700,173.44,clay,,,"48072.4, 0.85, 0.18, 0.036, 1.0"
0.5,1550,112.87,clay,,,"41645.2, 1.10, 0.25, 0.050, 1.0"
1.0,1550,112.87,silt,,"19746437.2, 197464.4, 0.2, 0.2",
1.5,1550,132.87,silt,,"27364377.2, 273643.8, 0.2, 0.2",
4.5,1550,123.73,silt,,"23729125.0, 237291.2, 0.2, 0.2",
4.5,1550,132.87,silt,,"27364377.2, 273643.8, 0.2, 0.2",
1.5,1550,123.73,silt,,"23729125.0, 237291.2, 0.2, 0.2",
1.5,1550,140.83,silt,,"30741287.8, 307412.9, 0.2, 0.2",
1.5,1700,175.72,silt,,"52491781.3, 524917.8, 0.2, 0.2",
1.5,1700,170.9,silt,,"49651577.0, 496515.8, 0.2, 0.2",
1.95,1850,200.01,silt,,"74007400.2, 740074.0, 0.2, 0.2",
