thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
1.5,1550,123.73,silt,,"23729125.0, 237291.2, 0.2, 0.2",
1.5,1550,112.87,silt,,"19746437.2, 197464.4, 0.2, 0.2",
1.5,1550,132.87,silt,,"27364377.2, 273643.8, 0.2, 0.2",
3.0,1550,112.87,silt,,"19746437.2, 197464.4, 0.2, 0.2",
1.5,1550,123.73,silt,,"23729125.0, 237291.2, 0.2, 0.2",
1.5,1550,112.87,silt,,"19746437.2, 197464.4, 0.2, 0.2",
1.5,1550,123.73,silt,,"23729125.0, 237291.2, 0.2, 0.2",
1.5,1550,112.87,silt,,"19746437.2, 197464.4, 0.2, 0.2",
1.5,1550,123.73,silt,,"23729125.0, 237291.2, 0.2, 0.2",
5.0,1550,112.87,silt,,"19746437.2, 197464.4, 0.2, 0.2",
