thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
1.5,1700,181.56,clay,,,"3697.9, 0.85, 0.18, 0.036, 1.0"
1.5,1700,173.44,clay,,,"11093.6, 0.85, 0.18, 0.036, 1.0"
6.0,1700,163.99,clay,,,"29583.0, 0.85, 0.18, 0.036, 1.0"
1.5,1700,152.57,clay,,,"48072.4, 0.85, 0.18, 0.036, 1.0"
1.5,1700,163.99,clay,,,"55468.2, 0.85, 0.18, 0.036, 1.0"
1.5,1700,173.44,clay,,,"62864.0, 0.85, 0.18, 0.036, 1.0"
1.5,1700,188.72,clay,,,"70259.7, 0.85, 0.18, 0.036, 1.0"
1.5,1700,173.44,clay,,,"77655.5, 0.85, 0.18, 0.036, 1.0"
1.5,1700,163.99,clay,,,"85051.2, 0.85, 0.18, 0.036, 1.0"
2.0,1700,173.44,clay,,,"93679.6, 0.85, 0.18, 0.036, 1.0"
