thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
1.8,1700,184.58,silt,,"57918619.9, 579186.2, 0.2, 0.2",
0.25,1550,112.87,silt,,"19746437.2, 197464.4, 0.2, 0.2",
0.95,1550,112.87,sand,"1550.0, 19746437.2, 42783947.3, 28.0, 0.1, 101325.0, 0.5, 25.0",,
0.3,1550,112.87,silt,,"19746437.2, 197464.4, 0.2, 0.2",
1.5,1550,147.94,silt,,"33923677.6, 339236.8, 0.2, 0.2",
1.5,1550,140.83,silt,,"30741287.8, 307412.9, 0.2, 0.2",
1.15,1850,201.01,silt,,"74749287.2, 747492.9, 0.2, 0.2",
1.85,1850,201.01,sand,"1850.0, 74749287.2, 161956788.9, 28.0, 0.1, 101325.0, 0.5, 25.0",,
1.3,1850,206.4,sand,"1850.0, 78811776.0, 170758848.0, 32.0, 0.1, 101325.0, 0.5, 29.0",,
0.4,1550,140.83,sand,"1550.0, 30741287.8, 66606123.6, 28.0, 0.1, 101325.0, 0.5, 25.0",,
1.3,1550,140.83,silt,,"30741287.8, 307412.9, 0.2, 0.2",
1.5,1850,200.01,silt,,"74007400.2, 740074.0, 0.2, 0.2",
1.5,1550,123.73,silt,,"23729125.0, 237291.2, 0.2, 0.2",
3.0,1550,112.87,silt,,"19746437.2, 197464.4, 0.2, 0.2",
0.2,1700,152.57,silt,,"39571928.3, 395719.3, 0.2, 0.2",
1.3,1700,152.57,clay,,,"94419.2, 0.85, 0.18, 0.036, 1.0"
1.5,1700,163.99,clay,,,"101321.9, 0.85, 0.18, 0.036, 1.0"
1.1,1700,173.44,clay,,,"107731.6, 0.85, 0.18, 0.036, 1.0"
0.2,1700,173.44,silt,,"51138437.1, 511384.4, 0.2, 0.2",
0.2,1700,173.44,clay,,,"111922.5, 0.85, 0.18, 0.036, 1.0"
3.0,1700,152.57,clay,,,"119811.3, 0.85, 0.18, 0.036, 1.0"
1.5,1700,173.44,clay,,,"130904.9, 0.85, 0.18, 0.036, 1.0"
1.0,1700,181.56,clay,,,"137068.1, 0.85, 0.18, 0.036, 1.0"
2.0,1700,195.16,clay,,,"144463.8, 0.85, 0.18, 0.036, 1.0"
1.5,1700,181.56,clay,,,"153092.2, 0.85, 0.18, 0.036, 1.0"
1.5,1700,163.99,clay,,,"160488.0, 0.85, 0.18, 0.036, 1.0"
1.7,1700,181.56,clay,,,"168376.8, 0.85, 0.18, 0.036, 1.0"
