thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
2.0,1700,163.99,clay,,,"4930.5, 0.85, 0.18, 0.036, 1.0"
1.0,1700,188.72,clay,,,"12326.3, 0.85, 0.18, 0.036, 1.0"
1.0,1850,264.84,silt,,"129759417.4, 1297594.2, 0.2, 0.2",
3.5,1850,264.84,sand,"1850.0, 129759417.4, 281145404.3, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1.0,1850,242.48,silt,,"108773618.2, 1087736.2, 0.2, 0.2",
0.5,1850,242.48,sand,"1850.0, 108773618.2, 235676172.9, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1.5,1700,188.72,sand,"1700.0, 60545905.3, 131182794.8, 28.0, 0.1, 101325.0, 0.5, 25.0",,
0.5,1850,259.77,silt,,"124838837.9, 1248388.4, 0.2, 0.2",
2.0,1850,259.77,sand,"1850.0, 124838837.9, 270484148.7, 32.0, 0.1, 101325.0, 0.5, 29.0",,
2.0,1850,248.65,sand,"1850.0, 114379621.6, 247822513.5, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1.0,1700,173.44,sand,"1700.0, 51138437.1, 110799947.1, 28.0, 0.1, 101325.0, 0.5, 25.0",,
2.0,1850,242.48,sand,"1850.0, 108773618.2, 235676172.9, 32.0, 0.1, 101325.0, 0.5, 29.0",,
2.0,1700,181.56,sand,"1700.0, 56038857.1, 121417523.8, 28.0, 0.1, 101325.0, 0.5, 25.0",,
5.0,1850,242.48,sand,"1850.0, 108773618.2, 235676172.9, 32.0, 0.1, 101325.0, 0.5, 29.0",,
