thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
0.5,1946.5,99.16,sand,"1946.5, 19139072.3, 41467989.9, 28.0, 0.1, 101325.0, 0.5, 25.0",,
1.0,1946.5,99.16,silt,,"19139072.3, 191390.7, 0.2, 0.2",
0.15,1946.5,206.4,silt,,"82921515.7, 829215.2, 0.2, 0.2",
1.35,1946.5,206.4,sand,"1946.5, 82921515.7, 179663284.0, 32.0, 0.1, 101325.0, 0.5, 29.0",,
0.75,1946.5,175.72,sand,"1946.5, 60102181.4, 130221393.0, 32.0, 0.1, 101325.0, 0.5, 29.0",,
0.75,1946.5,175.72,silt,,"60102181.4, 601021.8, 0.2, 0.2",
1.5,1946.5,216.06,sand,"1946.5, 90864991.3, 196874147.8, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1.0,1946.5,154.38,sand,"1946.5, 46390592.5, 100512950.3, 28.0, 0.1, 101325.0, 0.5, 25.0",,
0.5,1946.5,154.38,silt,,"46390592.5, 463905.9, 0.2, 0.2",
1.5,1946.5,140.83,silt,,"38604524.2, 386045.2, 0.2, 0.2",
1.5,1946.5,170.9,silt,,"56850196.6, 568502.0, 0.2, 0.2",
1.95,1946.5,184.58,silt,,"66315817.7, 663158.2, 0.2, 0.2",
