thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
1.5,1700,154.38,silt,,"40516413.5, 405164.1, 0.2, 0.2",
1.5,1550,140.83,silt,,"30741287.8, 307412.9, 0.2, 0.2",
1.5,1700,165.78,silt,,"46721114.3, 467211.1, 0.2, 0.2",
1.25,1850,201.01,silt,,"74749287.2, 747492.9, 0.2, 0.2",
0.25,1850,201.01,sand,"1850.0, 74749287.2, 161956788.9, 28.0, 0.1, 101325.0, 0.5, 25.0",,
0.25,1700,184.58,sand,"1700.0, 57918619.9, 125490343.1, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1.25,1700,184.58,silt,,"57918619.9, 579186.2, 0.2, 0.2",
1.5,1700,192.62,silt,,"63074189.5, 630741.9, 0.2, 0.2",
1.5,1700,188.7,silt,,"60533073.0, 605330.7, 0.2, 0.2",
7.5,1700,192.62,silt,,"63074189.5, 630741.9, 0.2, 0.2",
6.0,1700,188.7,silt,,"60533073.0, 605330.7, 0.2, 0.2",
1.95,1700,184.58,silt,,"57918619.9, 579186.2, 0.2, 0.2",
