thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
1.0,1700,188.72,sand,"1700.0, 60545905.3, 131182794.8, 28.0, 0.1, 101325.0, 0.5, 25.0",,
0.5,1550,99.16,sand,"1550.0, 15240693.7, 33021503.0, 28.0, 0.1, 101325.0, 0.5, 25.0",,
3.0,1550,99.16,silt,,"15240693.7, 152406.9, 0.2, 0.2",
1.5,1850,245.62,silt,,"111608991.1, 1116089.9, 0.2, 0.2",
0.5,1850,245.62,sand,"1850.0, 111608991.1, 241819480.8, 32.0, 0.1, 101325.0, 0.5, 29.0",,
0.5,1550,132.87,sand,"1550.0, 27364377.2, 59289483.9, 28.0, 0.1, 101325.0, 0.5, 25.0",,
0.5,1550,132.87,silt,,"27364377.2, 273643.8, 0.2, 0.2",
0.4,1700,188.72,silt,,"60545905.3, 605459.1, 0.2, 0.2",
0.6,1700,188.72,sand,"1700.0, 60545905.3, 131182794.8, 28.0, 0.1, 101325.0, 0.5, 25.0",,
0.5,1850,228.51,sand,"1850.0, 96601117.2, 209302420.6, 32.0, 0.1, 101325.0, 0.5, 29.0",,
0.35,1850,228.51,silt,,"96601117.2, 966011.2, 0.2, 0.2",
0.65,1850,228.51,sand,"1850.0, 96601117.2, 209302420.6, 32.0, 0.1, 101325.0, 0.5, 29.0",,
3.0,1850,276.38,sand,"1850.0, 141313923.1, 306180166.8, 36.0, 0.1, 101325.0, 0.5, 33.0",,
