thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
1.5,1700,173.44,clay,,,"3697.9, 0.85, 0.18, 0.036, 1.0"
1.5,1700,195.16,clay,,,"11093.6, 0.85, 0.18, 0.036, 1.0"
1.5,1850,206.4,clay,,,"22451.4, 0.60, 0.12, 0.024, 1.0"
1.5,1850,216.06,clay,,,"31432.0, 0.60, 0.12, 0.024, 1.0"
1.5,1850,206.4,clay,,,"40412.5, 0.60, 0.12, 0.024, 1.0"
3.0,1850,216.06,clay,,,"53883.4, 0.60, 0.12, 0.024, 1.0"
1.5,1850,220.45,clay,,,"67354.2, 0.60, 0.12, 0.024, 1.0"
1.5,1850,257.12,clay,,,"76334.8, 0.60, 0.12, 0.024, 1.0"
1.5,1850,259.77,clay,,,"85315.4, 0.60, 0.12, 0.024, 1.0"
1.5,1850,264.84,clay,,,"94295.9, 0.60, 0.12, 0.024, 1.0"
1.5,1850,257.12,clay,,,"103276.5, 0.60, 0.12, 0.024, 1.0"
1.5,1850,282.66,clay,,,"115250.6, 0.60, 0.12, 0.024, 1.0"
