thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
1.5,1850,278.52,clay,,,"4490.3, 0.60, 0.12, 0.024, 1.0"
1.5,1850,274.18,clay,,,"13470.8, 0.60, 0.12, 0.024, 1.0"
1.5,1850,220.45,clay,,,"22451.4, 0.60, 0.12, 0.024, 1.0"
1.5,1850,245.62,clay,,,"31432.0, 0.60, 0.12, 0.024, 1.0"
1.5,1850,239.21,clay,,,"40412.5, 0.60, 0.12, 0.024, 1.0"
3.0,1850,254.39,clay,,,"53883.4, 0.60, 0.12, 0.024, 1.0"
1.5,1850,269.63,clay,,,"67354.2, 0.60, 0.12, 0.024, 1.0"
1.5,1850,264.84,clay,,,"76334.8, 0.60, 0.12, 0.024, 1.0"
1.5,1850,259.77,clay,,,"85315.4, 0.60, 0.12, 0.024, 1.0"
1.5,1850,278.52,clay,,,"94295.9, 0.60, 0.12, 0.024, 1.0"
1.5,1850,284.67,clay,,,"103276.5, 0.60, 0.12, 0.024, 1.0"
1.5,1850,290.45,clay,,,"115250.6, 0.60, 0.12, 0.024, 1.0"
