thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
1.5,1700,180.13,silt,,"55159588.7, 551595.9, 0.2, 0.2",
1.5,1700,196.22,silt,,"65453890.3, 654538.9, 0.2, 0.2",
1.5,1850,203.31,silt,,"76469668.8, 764696.7, 0.2, 0.2",
1.5,1850,206.66,silt,,"79010457.9, 790104.6, 0.2, 0.2",
3.0,1850,257.12,clay,,,"44902.8, 0.60, 0.12, 0.024, 1.0"
1.5,1850,264.84,clay,,,"58373.7, 0.60, 0.12, 0.024, 1.0"
1.5,1850,267.27,clay,,,"67354.2, 0.60, 0.12, 0.024, 1.0"
1.5,1850,284.67,sand,"1850.0, 149918466.5, 324823344.0, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1.5,1850,294.12,sand,"1850.0, 160037162.6, 346747185.7, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1.5,1850,292.3,sand,"1850.0, 158062686.5, 342469154.1, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1.5,1850,292.3,sand,"1850.0, 158062686.5, 342469154.1, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1.5,1850,276.38,sand,"1850.0, 141313923.1, 306180166.8, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1.5,1850,295.9,sand,"1850.0, 161980098.5, 350956880.1, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1.5,2000,302.73,sand,"2000.0, 183290905.8, 397130295.9, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1.5,1850,288.56,sand,"1850.0, 154043716.2, 333761385.0, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1.5,1850,299.37,sand,"1850.0, 165801434.3, 359236440.9, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1.5,2000,307.57,sand,"2000.0, 189198609.8, 409930321.2, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1.5,2000,312.19,sand,"2000.0, 194925192.2, 422337916.4, 40.0, 0.1, 101325.0, 0.5, 37.0",,
