thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
1.5,1550,140.76,silt,,"30710735.3, 307107.4, 0.2, 0.2",
1.5,1550,147.85,silt,,"33882414.9, 338824.1, 0.2, 0.2",
1.5,1850,224.59,sand,"1850.0, 93315236.0, 202183011.3, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1.5,1850,228.51,sand,"1850.0, 96601117.2, 209302420.6, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1.5,1850,224.59,sand,"1850.0, 93315236.0, 202183011.3, 32.0, 0.1, 101325.0, 0.5, 29.0",,
4.5,1550,132.8,silt,,"27335552.0, 273355.5, 0.2, 0.2",
3.0,1550,140.76,silt,,"30710735.3, 307107.4, 0.2, 0.2",
1.5,1550,147.85,silt,,"33882414.9, 338824.1, 0.2, 0.2",
1.5,1550,132.8,silt,,"27335552.0, 273355.5, 0.2, 0.2",
1.5,1700,154.28,silt,,"40463941.3, 404639.4, 0.2, 0.2",
