thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
1.0,1550,132.8,silt,,"27335552.0, 273355.5, 0.2, 0.2",
1.5,1700,170.78,silt,,"49581874.3, 495818.7, 0.2, 0.2",
1.5,1700,170.78,silt,,"49581874.3, 495818.7, 0.2, 0.2",
1.5,1700,180.13,silt,,"55159588.7, 551595.9, 0.2, 0.2",
1.5,1850,224.59,sand,"1850.0, 93315236.0, 202183011.3, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1.5,1850,257.12,sand,"1850.0, 122304784.6, 264993700.1, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1.5,1850,259.77,sand,"1850.0, 124838837.9, 270484148.7, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1.5,1850,267.27,sand,"1850.0, 132151517.9, 286328288.7, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1.5,1850,271.94,sand,"1850.0, 136810022.7, 296421715.8, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1.5,1850,276.38,sand,"1850.0, 141313923.1, 306180166.8, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1.5,1850,284.67,sand,"1850.0, 149918466.5, 324823344.0, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1.5,1850,297.65,sand,"1850.0, 163901716.6, 355120386.0, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1.5,1850,299.37,sand,"1850.0, 165801434.3, 359236440.9, 36.0, 0.1, 101325.0, 0.5, 33.0",,
