thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
1.5,1917.6,188.72,sand,"1917.6, 68297457.2, 147977823.9, 28.0, 0.1, 101325.0, 0.5, 25.0",,
1.5,1917.6,152.57,sand,"1917.6, 44638230.6, 96716166.2, 28.0, 0.1, 101325.0, 0.5, 25.0",,
0.2,1917.6,220.45,sand,"1917.6, 93194200.1, 201920766.9, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1.1,1917.6,220.45,clay,,,"24238.2, 0.54, 0.12, 0.024, 1.0"
1.7,1917.6,188.72,clay,,,"33287.1, 0.54, 0.18, 0.036, 1.0"
1.1,1917.6,232.24,clay,,,"42336.1, 0.54, 0.12, 0.024, 1.0"
0.3,2011.8,248.65,clay,,,"51666.7, 0.55, 0.12, 0.024, 1.0"
1.6,2011.8,248.65,sand,"2011.8, 124381019.4, 269492208.7, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1.5,2011.8,274.18,sand,"2011.8, 151233752.7, 327673130.9, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1.5,2011.8,242.48,sand,"2011.8, 118284824.9, 256283787.3, 32.0, 0.1, 101325.0, 0.5, 29.0",,
0.4,2011.8,173.44,sand,"2011.8, 60516766.4, 131119660.6, 28.0, 0.1, 101325.0, 0.5, 25.0",,
1.1,2011.8,173.44,clay,,,"92287.5, 0.55, 0.18, 0.036, 1.0"
1.5,2011.8,163.99,clay,,,"101551.9, 0.55, 0.18, 0.036, 1.0"
3.0,2000.0,181.56,clay,,,"116219.1, 0.55, 0.18, 0.036, 1.0"
2.0,2000.0,188.72,clay,,,"133828.0, 0.55, 0.18, 0.036, 1.0"
