thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
1,1850,271.94,sand,"1850.0, 136810022.7, 296421715.8, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1,2000,309.14,sand,"2000.0, 191135079.2, 414126004.9, 40.0, 0.1, 101325.0, 0.5, 37.0",,
1,1850,259.77,sand,"1850.0, 124838837.9, 270484148.7, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1,1700,196.39,silt,,"65567354.6, 655673.5, 0.2, 0.2",
1,1850,222.13,silt,,"91282213.3, 912822.1, 0.2, 0.2",
2,2000,302.73,sand,"2000.0, 183290905.8, 397130295.9, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1,1850,259.77,sand,"1850.0, 124838837.9, 270484148.7, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1,1850,232.24,sand,"1850.0, 99780522.6, 216191132.2, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1,1850,262.34,sand,"1850.0, 127321209.9, 275862621.4, 32.0, 0.1, 101325.0, 0.5, 29.0",,
6,2000,309.14,sand,"2000.0, 191135079.2, 414126004.9, 40.0, 0.1, 101325.0, 0.5, 37.0",,
1,1850,288.56,sand,"1850.0, 154043716.2, 333761385.0, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1,1850,264.84,sand,"1850.0, 129759417.4, 281145404.3, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1,2000,301.07,sand,"2000.0, 181286289.8, 392786961.2, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1,2000,305.98,sand,"2000.0, 187247520.8, 405702961.7, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1,2000,302.73,sand,"2000.0, 183290905.8, 397130295.9, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1,2000,309.14,sand,"2000.0, 191135079.2, 414126004.9, 40.0, 0.1, 101325.0, 0.5, 37.0",,
3,1850,277.15,silt,,"142102426.6, 1421024.3, 0.2, 0.2",
1,1850,275.37,silt,,"140282978.3, 1402829.8, 0.2, 0.2",
4,1850,277.15,silt,,"142102426.6, 1421024.3, 0.2, 0.2",
