thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
0.5,1550,145,sand,"1550.0, 32588750.0, 70608958.3, 32.0, 0.1, 101325.0, 0.5, 29.0",,
0.45,1550,145,clay,,,"2808.6, 1.10, 0.25, 0.050, 1.0"
2.05,1550,145,sand,"1550.0, 32588750.0, 70608958.3, 28.0, 0.1, 101325.0, 0.5, 25.0",,
0.33,1550,133,sand,"1550.0, 27417950.0, 59405558.3, 32.0, 0.1, 101325.0, 0.5, 29.0",,
0.2,1550,133,clay,,,"13287.7, 1.10, 0.25, 0.050, 1.0"
0.17,1550,133,sand,"1550.0, 27417950.0, 59405558.3, 32.0, 0.1, 101325.0, 0.5, 29.0",,
0.24,1550,133,clay,,,"14798.6, 1.10, 0.25, 0.050, 1.0"
0.56,1550,133,sand,"1550.0, 27417950.0, 59405558.3, 32.0, 0.1, 101325.0, 0.5, 29.0",,
0.25,1550,133,clay,,,"17917.1, 1.10, 0.25, 0.050, 1.0"
0.45,1550,133,sand,"1550.0, 27417950.0, 59405558.3, 28.0, 0.1, 101325.0, 0.5, 25.0",,
0.12,1550,133,clay,,,"20377.1, 1.10, 0.25, 0.050, 1.0"
0.42,1550,133,sand,"1550.0, 27417950.0, 59405558.3, 28.0, 0.1, 101325.0, 0.5, 25.0",,
0.26,1550,133,clay,,,"22740.2, 1.10, 0.25, 0.050, 1.0"
0.19,2000,359,clay,,,"42930.6, 0.60, 0.12, 0.024, 1.0"
0.31,2000,359,sand,"2000.0, 257762000.0, 558484333.3, 32.0, 0.1, 101325.0, 0.5, 29.0",,
0.45,2000,359,silt,,"257762000.0, 2577620.0, 0.2, 0.2",
0.65,2000,359,sand,"2000.0, 257762000.0, 558484333.3, 28.0, 0.1, 101325.0, 0.5, 25.0",,
0.45,2000,359,clay,,,"55116.0, 0.60, 0.12, 0.024, 1.0"
0.45,2000,359,sand,"2000.0, 257762000.0, 558484333.3, 36.0, 0.1, 101325.0, 0.5, 33.0",,
0.2,2000,359,clay,,,"60574.8, 0.60, 0.12, 0.024, 1.0"
0.95,2000,359,sand,"2000.0, 257762000.0, 558484333.3, 28.0, 0.1, 101325.0, 0.5, 25.0",,
0.1,2000,359,clay,,,"68322.7, 0.60, 0.12, 0.024, 1.0"
0.21,2000,359,silt,,"257762000.0, 2577620.0, 0.2, 0.2",
2.59,2000,307,sand,"2000.0, 188498000.0, 408412333.3, 36.0, 0.1, 101325.0, 0.5, 33.0",,
0.25,2000,307,silt,,"188498000.0, 1884980.0, 0.2, 0.2",
7.2,2000,307,sand,"2000.0, 188498000.0, 408412333.3, 36.0, 0.1, 101325.0, 0.5, 33.0",,
6.0,2000,475,sand,"2000.0, 451250000.0, 977708333.3, 32.0, 0.1, 101325.0, 0.5, 29.0",,
0.75,1850,232,sand,"1850.0, 99574400.0, 215744533.3, 32.0, 0.1, 101325.0, 0.5, 29.0",,
0.45,1850,232,clay,,,"161500.5, 0.60, 0.12, 0.024, 1.0"
1.02,1850,232,sand,"1850.0, 99574400.0, 215744533.3, 32.0, 0.1, 101325.0, 0.5, 29.0",,
0.45,1850,232,clay,,,"170301.4, 0.60, 0.12, 0.024, 1.0"
0.13,1850,232,sand,"1850.0, 99574400.0, 215744533.3, 32.0, 0.1, 101325.0, 0.5, 29.0",,
0.45,1850,232,clay,,,"173773.9, 0.60, 0.12, 0.024, 1.0"
0.65,1850,232,sand,"1850.0, 99574400.0, 215744533.3, 32.0, 0.1, 101325.0, 0.5, 29.0",,
0.45,1850,232,clay,,,"180359.7, 0.60, 0.12, 0.024, 1.0"
