thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
0.5,1971.2,116.0,sand,"1971.2, 26524150.6, 57468992.9, 28.0, 0.1, 101325.0, 0.5, 25.0",,
0.5,1971.2,152.57,sand,"1971.2, 45884267.1, 99415912.0, 28.0, 0.1, 101325.0, 0.5, 25.0",,
1.0,1971.2,181.56,sand,"1971.2, 64977927.4, 140785509.4, 28.0, 0.1, 101325.0, 0.5, 25.0",,
1.0,1950.0,188.72,sand,"1950.0, 69449714.9, 150474382.2, 28.0, 0.1, 101325.0, 0.5, 25.0",,
0.8,1950.0,172.0,sand,"1950.0, 57688800.0, 124992400.0, 28.0, 0.1, 101325.0, 0.5, 25.0",,
0.2,1950.0,147.94,silt,,"42678175.0, 426781.8, 0.2, 0.2",
0.5,1950.0,222.0,silt,,"96103800.0, 961038.0, 0.2, 0.2",
0.4,2018.2,222.0,sand,"2018.2, 99466708.2, 215511201.2, 28.0, 0.1, 101325.0, 0.5, 25.0",,
0.1,2018.2,195.16,sand,"2018.2, 76869386.6, 166550337.7, 28.0, 0.1, 101325.0, 0.5, 25.0",,
1.0,2018.2,211.4,sand,"2018.2, 90194854.6, 195422184.9, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1.0,2018.2,195.16,sand,"2018.2, 76869386.6, 166550337.7, 28.0, 0.1, 101325.0, 0.5, 25.0",,
0.4,2018.2,222.0,sand,"2018.2, 99466708.2, 215511201.2, 28.0, 0.1, 101325.0, 0.5, 25.0",,
0.1,2018.2,222.0,silt,,"99466708.2, 994667.1, 0.2, 0.2",
0.5,2018.2,201.01,sand,"2018.2, 81546837.6, 176684814.9, 28.0, 0.1, 101325.0, 0.5, 25.0",,
2.0,2018.2,154.38,silt,,"48100973.9, 481009.7, 0.2, 0.2",
1.0,2018.2,160.3,silt,,"51860755.8, 518607.6, 0.2, 0.2",
1.0,2002.4,165.78,silt,,"55030682.7, 550306.8, 0.2, 0.2",
1.0,2002.4,154.38,silt,,"47722446.9, 477224.5, 0.2, 0.2",
1.0,2002.4,147.94,silt,,"43823984.2, 438239.8, 0.2, 0.2",
1.0,2002.4,140.83,silt,,"39712843.9, 397128.4, 0.2, 0.2",
1.0,2008.8,147.94,silt,,"43965601.1, 439656.0, 0.2, 0.2",
2.0,2008.8,140.83,silt,,"39841175.6, 398411.8, 0.2, 0.2",
1.0,2008.8,147.94,silt,,"43965601.1, 439656.0, 0.2, 0.2",
1.0,2008.8,165.78,silt,,"55208513.9, 552085.1, 0.2, 0.2",
2.0,2007.6,154.38,silt,,"47848622.6, 478486.2, 0.2, 0.2",
1.0,2007.6,132.87,silt,,"35443878.3, 354438.8, 0.2, 0.2",
1.0,2010.0,154.38,silt,,"47904700.6, 479047.0, 0.2, 0.2",
1.0,2010.0,147.94,silt,,"43991349.6, 439913.5, 0.2, 0.2",
2.0,2010.0,140.83,silt,,"39864508.7, 398645.1, 0.2, 0.2",
3.01,2001.8,154.38,silt,,"47708427.4, 477084.3, 0.2, 0.2",
