thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
0.5,1550,123.73,silt,,"23729125.0, 237291.2, 0.2, 0.2",
1.0,1700,160.3,silt,,"43683353.0, 436833.5, 0.2, 0.2",
1.0,1850,206.85,silt,,"79155806.6, 791558.1, 0.2, 0.2",
1.0,1850,273.56,silt,,"138444886.2, 1384448.9, 0.2, 0.2",
1.0,2000,305.74,silt,,"186953895.2, 1869539.0, 0.2, 0.2",
1.0,1850,222.13,silt,,"91282213.3, 912822.1, 0.2, 0.2",
1.0,1700,184.58,silt,,"57918619.9, 579186.2, 0.2, 0.2",
1.0,1700,180.27,silt,,"55245363.9, 552453.6, 0.2, 0.2",
1.0,1850,275.37,silt,,"140282978.3, 1402829.8, 0.2, 0.2",
2.0,1850,277.15,silt,,"142102426.6, 1421024.3, 0.2, 0.2",
1.0,1700,188.7,silt,,"60533073.0, 605330.7, 0.2, 0.2",
1.0,1850,222.13,silt,,"91282213.3, 912822.1, 0.2, 0.2",
1.0,1850,260.13,silt,,"125185091.3, 1251850.9, 0.2, 0.2",
1.0,2000,345.81,silt,,"239169112.2, 2391691.1, 0.2, 0.2",
1.0,2000,301.37,silt,,"181647753.8, 1816477.5, 0.2, 0.2",
1.0,1850,273.56,silt,,"138444886.2, 1384448.9, 0.2, 0.2",
1.0,1850,278.91,silt,,"143912958.0, 1439129.6, 0.2, 0.2",
2.0,1850,280.64,silt,,"145703797.8, 1457038.0, 0.2, 0.2",
1.0,1850,275.37,silt,,"140282978.3, 1402829.8, 0.2, 0.2",
1.0,1850,277.15,silt,,"142102426.6, 1421024.3, 0.2, 0.2",
0.5,2000,312.19,silt,,"194925192.2, 1949251.9, 0.2, 0.2",
0.5,2000,312.19,clay,,,"156719.7, 0.60, 0.12, 0.024, 1.0"
1.0,2000,302.73,clay,,,"162002.3, 0.60, 0.12, 0.024, 1.0"
1.0,2000,301.07,clay,,,"169045.9, 0.60, 0.12, 0.024, 1.0"
1.5,2000,305.98,clay,,,"177850.4, 0.60, 0.12, 0.024, 1.0"
