thickness,mass_density,Vs,soil_type,pdmy_args,hyst_args,clay_args
0.5,1550,132.87,silt,,"27364377.2, 273643.8, 0.2, 0.2",
1.0,1700,160.3,silt,,"43683353.0, 436833.5, 0.2, 0.2",
0.5,1850,251.57,silt,,"117081810.1, 1170818.1, 0.2, 0.2",
0.5,1850,251.57,sand,"1850.0, 117081810.1, 253677255.1, 32.0, 0.1, 101325.0, 0.5, 29.0",,
1.0,1850,282.66,sand,"1850.0, 147808849.9, 320252508.0, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1.0,1850,284.67,sand,"1850.0, 149918466.5, 324823344.0, 36.0, 0.1, 101325.0, 0.5, 33.0",,
0.5,1850,253.9,sand,"1850.0, 119260638.5, 258398050.1, 36.0, 0.1, 101325.0, 0.5, 33.0",,
0.5,1850,253.9,silt,,"119260638.5, 1192606.4, 0.2, 0.2",
1.0,1850,266.07,silt,,"130967503.1, 1309675.0, 0.2, 0.2",
1.0,1850,251.75,silt,,"117249415.6, 1172494.2, 0.2, 0.2",
1.0,1850,260.13,silt,,"125185091.3, 1251850.9, 0.2, 0.2",
1.0,1850,262.14,silt,,"127127152.3, 1271271.5, 0.2, 0.2",
1.0,1850,267.98,silt,,"132854568.7, 1328545.7, 0.2, 0.2",
1.0,1850,269.87,silt,,"134735161.3, 1347351.6, 0.2, 0.2",
1.0,1850,267.98,silt,,"132854568.7, 1328545.7, 0.2, 0.2",
1.0,1850,277.15,silt,,"142102426.6, 1421024.3, 0.2, 0.2",
0.5,2000,737.81,silt,,"1088727192.2, 10887271.9, 0.2, 0.2",
0.5,2000,737.81,sand,"2000.0, 1088727192.2, 2358908916.4, 40.0, 0.1, 101325.0, 0.5, 37.0",,
1.0,2000,725.95,sand,"2000.0, 1054006805.0, 2283681410.8, 40.0, 0.1, 101325.0, 0.5, 37.0",,
1.0,2000,732.69,sand,"2000.0, 1073669272.2, 2326283423.1, 40.0, 0.1, 101325.0, 0.5, 37.0",,
1.0,2000,725.95,sand,"2000.0, 1054006805.0, 2283681410.8, 40.0, 0.1, 101325.0, 0.5, 37.0",,
1.0,2000,737.81,sand,"2000.0, 1088727192.2, 2358908916.4, 40.0, 0.1, 101325.0, 0.5, 37.0",,
2.0,2000,728.22,sand,"2000.0, 1060608736.8, 2297985596.4, 40.0, 0.1, 101325.0, 0.5, 37.0",,
1.0,2000,301.07,sand,"2000.0, 181286289.8, 392786961.2, 36.0, 0.1, 101325.0, 0.5, 33.0",,
1.0,2000,684.0,sand,"2000.0, 935712000.0, 2027376000.0, 40.0, 0.1, 101325.0, 0.5, 37.0",,
1.0,2000,707.0,sand,"2000.0, 999698000.0, 2166012333.3, 40.0, 0.1, 101325.0, 0.5, 37.0",,
1.0,2000,708.16,sand,"2000.0, 1002981171.2, 2173125870.9, 40.0, 0.1, 101325.0, 0.5, 37.0",,
1.0,2000,705.84,sand,"2000.0, 996420211.2, 2158910457.6, 40.0, 0.1, 101325.0, 0.5, 37.0",,
3.0,2000,793.94,sand,"2000.0, 1260681447.2, 2731476468.9, 40.0, 0.1, 101325.0, 0.5, 37.0",,
1.0,2000,863.91,sand,"2000.0, 1492680976.2, 3234142115.1, 40.0, 0.1, 101325.0, 0.5, 37.0",,
1.5,2000,767.77,sand,"2000.0, 1178941545.8, 2554373349.2, 40.0, 0.1, 101325.0, 0.5, 37.0",,
