timestamp,day_of_week,hour,flow_veh_h,occupancy_pct,avg_speed_kmh,weather,incident
2025-09-01T00:00:00,1,0,131,6,61,rain,0
2025-09-01T01:00:00,1,1,118,5,64,fog,0
2025-09-01T02:00:00,1,2,147,7,61,clear,0
2025-09-01T03:00:00,1,3,160,7,62,clear,0
2025-09-01T04:00:00,1,4,167,8,62,clear,0
2025-09-01T05:00:00,1,5,231,11,63,clear,0
2025-09-01T06:00:00,1,6,576,28,50,clear,0
2025-09-01T07:00:00,1,7,946,43,46,fog,0
2025-09-01T08:00:00,1,8,1683,84,26,clear,0
2025-09-01T09:00:00,1,9,1817,80,30,rain,0
2025-09-01T10:00:00,1,10,1188,52,41,rain,0
2025-09-01T11:00:00,1,11,854,36,47,clear,0
2025-09-01T12:00:00,1,12,862,37,51,clear,0
2025-09-01T13:00:00,1,13,831,37,50,clear,0
2025-09-01T14:00:00,1,14,696,27,51,rain,0
2025-09-01T15:00:00,1,15,991,46,45,clear,0
2025-09-01T16:00:00,1,16,1363,61,35,clear,0
2025-09-01T17:00:00,1,17,2228,95,22,clear,0
2025-09-01T18:00:00,1,18,2103,95,24,clear,0
2025-09-01T19:00:00,1,19,2048,95,23,clear,0
2025-09-01T20:00:00,1,20,1069,48,40,clear,0
2025-09-01T21:00:00,1,21,495,25,53,clear,0
2025-09-01T22:00:00,1,22,250,10,60,clear,0
2025-09-01T23:00:00,1,23,180,7,63,clear,0
2025-09-02T00:00:00,2,0,119,5,61,fog,0
2025-09-02T01:00:00,2,1,147,7,63,rain,0
2025-09-02T02:00:00,2,2,142,6,63,rain,0
2025-09-02T03:00:00,2,3,142,7,62,rain,0
2025-09-02T04:00:00,2,4,156,7,58,clear,0
2025-09-02T05:00:00,2,5,252,13,57,clear,0
2025-09-02T06:00:00,2,6,464,19,57,rain,0
2025-09-02T07:00:00,2,7,1234,56,36,clear,0
2025-09-02T08:00:00,2,8,1904,94,24,clear,0
2025-09-02T09:00:00,2,9,1579,69,33,rain,0
2025-09-02T10:00:00,2,10,1534,67,31,clear,0
2025-09-02T11:00:00,2,11,1020,49,42,clear,0
2025-09-02T12:00:00,2,12,823,42,47,clear,0
2025-09-02T13:00:00,2,13,666,33,49,rain,0
2025-09-02T14:00:00,2,14,835,38,47,clear,0
2025-09-02T15:00:00,2,15,815,40,41,rain,0
2025-09-02T16:00:00,2,16,1401,51,41,clear,0
2025-09-02T17:00:00,2,17,1776,89,22,rain,0
2025-09-02T18:00:00,2,18,1944,89,22,rain,0
2025-09-02T19:00:00,2,19,2060,89,26,clear,0
2025-09-02T20:00:00,2,20,961,42,47,rain,0
2025-09-02T21:00:00,2,21,535,24,56,clear,0
2025-09-02T22:00:00,2,22,247,11,61,clear,0
2025-09-02T23:00:00,2,23,154,7,63,rain,0
2025-09-03T00:00:00,3,0,149,6,63,clear,0
2025-09-03T01:00:00,3,1,130,6,64,clear,0
2025-09-03T02:00:00,3,2,163,8,61,clear,0
2025-09-03T03:00:00,3,3,133,6,61,rain,0
2025-09-03T04:00:00,3,4,156,8,60,clear,0
2025-09-03T05:00:00,3,5,229,11,61,clear,0
2025-09-03T06:00:00,3,6,498,20,54,clear,0
2025-09-03T07:00:00,3,7,1219,54,41,clear,0
2025-09-03T08:00:00,3,8,2041,95,23,clear,0
2025-09-03T09:00:00,3,9,1672,75,30,rain,0
2025-09-03T10:00:00,3,10,1441,59,39,clear,0
2025-09-03T11:00:00,3,11,930,40,48,rain,0
2025-09-03T12:00:00,3,12,835,37,48,clear,0
2025-09-03T13:00:00,3,13,714,36,48,rain,0
2025-09-03T14:00:00,3,14,705,31,53,rain,0
2025-09-03T15:00:00,3,15,857,36,50,rain,0
2025-09-03T16:00:00,3,16,1462,66,35,clear,0
2025-09-03T17:00:00,3,17,1761,81,30,rain,0
2025-09-03T18:00:00,3,18,2226,95,23,clear,0
2025-09-03T19:00:00,3,19,1877,82,27,clear,0
2025-09-03T20:00:00,3,20,960,42,45,fog,0
2025-09-03T21:00:00,3,21,515,23,56,clear,0
2025-09-03T22:00:00,3,22,221,9,61,rain,0
2025-09-03T23:00:00,3,23,130,6,64,fog,0
2025-09-04T00:00:00,4,0,141,6,62,clear,0
2025-09-04T01:00:00,4,1,155,8,61,clear,0
2025-09-04T02:00:00,4,2,152,8,58,clear,0
2025-09-04T03:00:00,4,3,117,5,58,fog,0
2025-09-04T04:00:00,4,4,193,9,58,clear,0
2025-09-04T05:00:00,4,5,212,9,63,clear,0
2025-09-04T06:00:00,4,6,216,9,29,fog,1
2025-09-04T07:00:00,4,7,1145,52,40,clear,0
2025-09-04T08:00:00,4,8,2104,95,22,clear,0
2025-09-04T09:00:00,4,9,1928,89,24,clear,0
2025-09-04T10:00:00,4,10,1354,74,28,rain,0
2025-09-04T11:00:00,4,11,1058,45,43,clear,0
2025-09-04T12:00:00,4,12,871,37,48,clear,0
2025-09-04T13:00:00,4,13,811,34,50,clear,0
2025-09-04T14:00:00,4,14,939,42,47,clear,0
2025-09-04T15:00:00,4,15,959,52,39,clear,0
2025-09-04T16:00:00,4,16,1569,66,35,clear,0
2025-09-04T17:00:00,4,17,1988,93,21,clear,0
2025-09-04T18:00:00,4,18,2105,92,24,clear,0
2025-09-04T19:00:00,4,19,1966,95,23,clear,0
2025-09-04T20:00:00,4,20,1007,47,45,clear,0
2025-09-04T21:00:00,4,21,428,19,55,rain,0
2025-09-04T22:00:00,4,22,251,12,58,clear,0
2025-09-04T23:00:00,4,23,126,6,62,rain,0
2025-09-05T00:00:00,5,0,148,6,64,clear,0
2025-09-05T01:00:00,5,1,126,6,60,fog,0
2025-09-05T02:00:00,5,2,125,6,65,rain,0
2025-09-05T03:00:00,5,3,154,6,63,clear,0
2025-09-05T04:00:00,5,4,154,8,60,clear,0
2025-09-05T05:00:00,5,5,178,8,63,fog,0
2025-09-05T06:00:00,5,6,492,23,51,clear,0
2025-09-05T07:00:00,5,7,1125,50,42,clear,0
2025-09-05T08:00:00,5,8,1598,73,30,rain,0
2025-09-05T09:00:00,5,9,1999,95,21,clear,0
2025-09-05T10:00:00,5,10,1616,65,35,clear,0
2025-09-05T11:00:00,5,11,832,41,50,rain,0
2025-09-05T12:00:00,5,12,894,36,49,clear,0
2025-09-05T13:00:00,5,13,644,29,53,fog,0
2025-09-05T14:00:00,5,14,842,44,47,clear,0
2025-09-05T15:00:00,5,15,951,44,46,clear,0
2025-09-05T16:00:00,5,16,1144,52,43,rain,0
2025-09-05T17:00:00,5,17,1706,76,30,rain,0
2025-09-05T18:00:00,5,18,1874,88,26,rain,0
2025-09-05T19:00:00,5,19,1880,88,26,clear,0
2025-09-05T20:00:00,5,20,938,40,47,rain,0
2025-09-05T21:00:00,5,21,511,26,55,clear,0
2025-09-05T22:00:00,5,22,260,12,62,clear,0
2025-09-05T23:00:00,5,23,154,6,66,clear,0
2025-09-06T00:00:00,6,0,137,7,63,clear,0
2025-09-06T01:00:00,6,1,142,6,61,rain,0
2025-09-06T02:00:00,6,2,132,6,61,clear,0
2025-09-06T03:00:00,6,3,128,6,63,rain,0
2025-09-06T04:00:00,6,4,122,6,65,fog,0
2025-09-06T05:00:00,6,5,149,8,63,fog,0
2025-09-06T06:00:00,6,6,398,17,56,clear,0
2025-09-06T07:00:00,6,7,725,32,50,clear,0
2025-09-06T08:00:00,6,8,1125,57,40,rain,0
2025-09-06T09:00:00,6,9,1318,57,39,clear,0
2025-09-06T10:00:00,6,10,782,33,50,rain,0
2025-09-06T11:00:00,6,11,498,24,57,rain,0
2025-09-06T12:00:00,6,12,508,24,54,clear,0
2025-09-06T13:00:00,6,13,575,24,54,clear,0
2025-09-06T14:00:00,6,14,551,26,52,clear,0
2025-09-06T15:00:00,6,15,547,25,51,rain,0
2025-09-06T16:00:00,6,16,895,41,50,clear,0
2025-09-06T17:00:00,6,17,1231,56,39,clear,0
2025-09-06T18:00:00,6,18,1241,66,36,rain,0
2025-09-06T19:00:00,6,19,1033,47,42,rain,0
2025-09-06T20:00:00,6,20,712,32,49,clear,0
2025-09-06T21:00:00,6,21,382,19,56,clear,0
2025-09-06T22:00:00,6,22,208,9,60,clear,0
2025-09-06T23:00:00,6,23,160,8,62,clear,0
2025-09-07T00:00:00,0,0,150,7,62,clear,0
2025-09-07T01:00:00,0,1,124,5,63,rain,0
2025-09-07T02:00:00,0,2,156,7,61,clear,0
2025-09-07T03:00:00,0,3,136,7,61,rain,0
2025-09-07T04:00:00,0,4,177,9,59,clear,0
2025-09-07T05:00:00,0,5,149,6,62,fog,0
2025-09-07T06:00:00,0,6,363,18,60,clear,0
2025-09-07T07:00:00,0,7,843,36,50,clear,0
2025-09-07T08:00:00,0,8,1153,53,39,clear,0
2025-09-07T09:00:00,0,9,1097,58,37,rain,0
2025-09-07T10:00:00,0,10,914,36,52,clear,0
2025-09-07T11:00:00,0,11,613,28,51,clear,0
2025-09-07T12:00:00,0,12,547,24,53,clear,0
2025-09-07T13:00:00,0,13,512,28,53,rain,0
2025-09-07T14:00:00,0,14,427,19,56,fog,0
2025-09-07T15:00:00,0,15,654,32,50,clear,0
2025-09-07T16:00:00,0,16,825,39,49,clear,0
2025-09-07T17:00:00,0,17,1000,46,45,fog,0
2025-09-07T18:00:00,0,18,1410,68,36,clear,0
2025-09-07T19:00:00,0,19,1145,55,43,clear,0
2025-09-07T20:00:00,0,20,678,28,53,clear,0
2025-09-07T21:00:00,0,21,299,14,60,fog,0
2025-09-07T22:00:00,0,22,218,10,62,clear,0
2025-09-07T23:00:00,0,23,174,8,61,clear,0
2025-09-08T00:00:00,1,0,172,8,59,clear,0
2025-09-08T01:00:00,1,1,134,6,61,rain,0
2025-09-08T02:00:00,1,2,131,6,60,rain,0
2025-09-08T03:00:00,1,3,146,7,61,clear,0
2025-09-08T04:00:00,1,4,139,7,61,rain,0
2025-09-08T05:00:00,1,5,201,8,62,fog,0
2025-09-08T06:00:00,1,6,503,24,56,rain,0
2025-09-08T07:00:00,1,7,1193,59,40,clear,0
2025-09-08T08:00:00,1,8,1638,77,28,rain,0
2025-09-08T09:00:00,1,9,1882,78,28,clear,0
2025-09-08T10:00:00,1,10,1245,59,38,rain,0
2025-09-08T11:00:00,1,11,1040,42,48,clear,0
2025-09-08T12:00:00,1,12,653,36,49,fog,0
2025-09-08T13:00:00,1,13,678,29,50,fog,0
2025-09-08T14:00:00,1,14,863,34,46,clear,0
2025-09-08T15:00:00,1,15,824,37,51,rain,0
2025-09-08T16:00:00,1,16,1151,56,39,rain,0
2025-09-08T17:00:00,1,17,1724,76,30,rain,0
2025-09-08T18:00:00,1,18,2249,89,25,clear,0
2025-09-08T19:00:00,1,19,2017,91,26,clear,0
2025-09-08T20:00:00,1,20,916,45,47,rain,0
2025-09-08T21:00:00,1,21,491,23,54,clear,0
2025-09-08T22:00:00,1,22,259,12,59,clear,0
2025-09-08T23:00:00,1,23,175,9,58,clear,0
2025-09-09T00:00:00,2,0,157,8,61,clear,0
2025-09-09T01:00:00,2,1,142,7,61,clear,0
2025-09-09T02:00:00,2,2,155,6,61,clear,0
2025-09-09T03:00:00,2,3,136,6,59,rain,0
2025-09-09T04:00:00,2,4,164,8,62,clear,0
2025-09-09T05:00:00,2,5,187,8,57,fog,0
2025-09-09T06:00:00,2,6,545,23,55,clear,0
2025-09-09T07:00:00,2,7,1042,47,44,rain,0
2025-09-09T08:00:00,2,8,1996,92,23,clear,0
2025-09-09T09:00:00,2,9,2096,95,23,clear,0
2025-09-09T10:00:00,2,10,1390,59,39,clear,0
2025-09-09T11:00:00,2,11,1039,37,49,clear,0
2025-09-09T12:00:00,2,12,885,36,48,clear,0
2025-09-09T13:00:00,2,13,799,34,50,clear,0
2025-09-09T14:00:00,2,14,810,32,51,clear,0
2025-09-09T15:00:00,2,15,919,42,44,clear,0
2025-09-09T16:00:00,2,16,1063,53,41,rain,0
2025-09-09T17:00:00,2,17,1965,95,23,clear,0
2025-09-09T18:00:00,2,18,1798,84,27,fog,0
2025-09-09T19:00:00,2,19,635,28,26,rain,1
2025-09-09T20:00:00,2,20,1019,39,47,rain,0
2025-09-09T21:00:00,2,21,424,19,56,rain,0
2025-09-09T22:00:00,2,22,251,11,60,clear,0
